t,q_ref_raw,q_raw,qdot_raw,qddot_raw,tau_prev_raw,mode,sim_tau_cmd_raw,c_tau_cmd_raw,diff_tau_cmd,sim_tau_load_hat_raw,c_tau_load_hat_raw,diff_tau_load_hat
0,20,11,11,-1,3,1,-14,-14,0,0,0,0
0.001,98,27,47,23,55,1,459,459,0,0,0,0
0.002,122,62,57,30,61,1,139,139,0,0,0,0
0.003,178,105,102,39,88,1,-301,-301,0,0,0,0
0.004,232,144,91,38,71,1,98,98,0,0,0,0
0.005,251,122,101,51,98,1,610,610,0,0,0,0
0.006,290,187,113,80,134,1,21,21,0,0,0,0
0.007,309,208,138,88,164,1,-371,-371,0,0,0,0
0.008,359,229,150,92,158,1,-80,-80,0,0,0,0
0.009,410,224,207,61,194,1,-5,-5,0,0,0,0
0.01,459,243,208,85,171,1,461,461,0,0,0,0
0.011,503,302,215,94,187,1,120,120,0,0,0,0
0.012,520,320,245,71,234,1,-328,-328,0,0,0,0
0.013,541,329,236,78,261,1,-6,-6,0,0,0,0
0.014,589,351,249,95,239,1,222,222,0,0,0,0
0.015,657,357,226,84,250,1,1552,1552,0,0,0,0
0.016,656,428,236,81,260,1,256,256,0,0,0,0
0.017,703,442,256,43,280,1,502,502,0,0,0,0
0.018,761,470,267,34,278,1,829,829,0,0,0,0
0.019,747,484,238,60,282,1,805,805,0,0,0,0
0.02,808,486,244,46,307,1,1668,1668,0,0,0,0
0.021,857,527,230,16,272,1,2004,2004,0,0,0,0
0.022,849,514,223,-1,318,1,2191,2191,0,0,0,0
0.023,894,558,230,2,312,1,2112,2112,0,0,0,0
0.024,940,555,238,11,323,1,2787,2787,0,0,0,0
0.025,927,582,229,-12,315,1,2282,2282,0,0,0,0
0.026,972,624,196,-7,310,1,2812,2812,0,0,0,0
0.027,1008,619,155,-42,280,1,4064,4064,0,0,0,0
0.028,1027,661,152,-25,300,1,3745,3745,0,0,0,0
0.029,1037,663,155,-62,284,1,3836,3836,0,0,0,0
0.03,1045,663,152,-30,264,1,4013,4013,0,0,0,0
0.031,1079,678,93,-69,279,1,5173,5173,0,0,0,0
0.032,1089,681,109,-89,252,1,5060,5060,0,0,0,0
0.033,1112,725,91,-54,267,1,4990,4990,0,0,0,0
0.034,1121,752,31,-83,241,1,5572,5572,0,0,0,0
0.035,1158,735,52,-82,236,1,6139,6139,0,0,0,0
0.036,1168,762,15,-97,223,1,6406,6406,0,0,0,0
0.037,1155,800,8,-95,193,1,5697,5697,0,0,0,0
0.038,1178,782,-22,-85,193,1,6791,6791,0,0,0,0
0.039,1171,821,-43,-89,162,1,6363,6363,0,0,0,0
0.04,1186,827,-53,-75,141,1,6657,6657,0,0,0,0
0.041,1186,821,-79,-84,148,1,7134,7134,0,0,0,0
0.042,1205,837,-116,-70,115,1,7720,7720,0,0,0,0
0.043,1192,817,-136,-85,96,1,8126,8126,0,0,0,0
0.044,1198,849,-123,-54,92,1,7529,7529,0,0,0,0
0.045,1210,869,-175,-41,55,1,8156,8156,0,0,0,0
0.046,1193,849,-185,-18,4,1,8354,8354,0,0,0,0
0.047,1214,847,-211,-18,19,1,9102,9102,0,0,0,0
0.048,1172,852,-213,-41,-3,1,8385,8385,0,0,0,0
0.049,6000,864,-213,-17,-17,1,12288,12288,0,0,0,0
0.05,6000,873,-242,13,-24,1,12288,12288,0,0,0,0
0.051,6000,906,-238,21,-55,1,12288,12288,0,0,0,0
0.052,6000,891,-235,-3,-61,1,12288,12288,0,0,0,0
0.053,6000,898,-252,5,-90,1,12288,12288,0,0,0,0
0.054,6000,888,-236,38,-99,1,12288,12288,0,0,0,0
0.055,1088,889,-249,43,-143,1,7328,7328,0,0,0,0
0.056,1075,903,-259,36,-170,1,7040,7040,0,0,0,0
0.057,1090,913,-236,49,-170,1,6788,6788,0,0,0,0
0.058,1061,883,-240,59,-169,1,6862,6862,0,0,0,0
0.059,1049,895,-240,87,-185,1,6478,6478,0,0,0,0
0.06,1041,903,-247,63,-208,1,6323,6323,0,0,0,0
0.061,1004,916,-197,94,-235,1,4803,4803,0,0,0,0
0.062,948,878,-228,97,-253,1,4961,4961,0,0,0,0
0.063,936,881,-205,67,-277,1,4390,4390,0,0,0,0
0.064,924,885,-182,97,-267,1,3803,3803,0,0,0,0
0.065,878,858,-149,56,-272,1,3024,3024,0,0,0,0
0.066,887,876,-165,68,-254,1,3110,3110,0,0,0,0
0.067,857,887,-158,49,-283,1,2353,2353,0,0,0,0
0.068,821,844,-109,55,-287,1,1760,1760,0,0,0,0
0.069,770,847,-79,46,-297,1,464,464,0,0,0,0
0.07,756,819,-84,63,-323,1,760,760,0,0,0,0
0.071,686,831,-37,59,-311,1,-1229,-1229,0,0,0,0
0.072,661,845,-51,25,-292,1,-1652,-1652,0,0,0,0
0.073,634,812,-2,16,-288,1,-2261,-2261,0,0,0,0
0.074,612,784,-25,39,-274,1,-1834,-1834,0,0,0,0
0.075,562,777,30,-12,-294,1,-3314,-3314,0,0,0,0
0.076,507,781,62,-6,-279,1,-4725,-4725,0,0,0,0
0.077,480,781,51,-10,-268,1,-5004,-5004,0,0,0,0
0.078,441,747,100,-16,-263,1,-5796,-5796,0,0,0,0
0.079,400,734,107,-51,-287,1,-6351,-6351,0,0,0,0
0.08,354,737,111,-51,-238,1,-7198,-7198,0,0,0,0
0.081,327,686,115,-68,-235,1,-6878,-6878,0,0,0,0
0.082,287,713,163,-44,-227,1,-8647,-8647,0,0,0,0
0.083,263,672,165,-52,-242,1,-8410,-8410,0,0,0,0
0.084,223,649,188,-53,-187,1,-9019,-9019,0,0,0,0
0.085,168,655,184,-78,-187,1,-9944,-9944,0,0,0,0
0.086,123,611,186,-102,-197,1,-9994,-9994,0,0,0,0
0.087,98,587,201,-59,-161,1,-10232,-10232,0,0,0,0
0.088,62,575,237,-100,-167,1,-11141,-11141,0,0,0,0
0.089,9,577,219,-94,-154,1,-11768,-11768,0,0,0,0
0.09,-27,529,233,-102,-103,1,-11783,-11783,0,0,0,0
0.091,-62,527,252,-80,-83,1,-12288,-12288,0,0,0,0
0.092,-148,496,238,-62,-76,1,-12288,-12288,0,0,0,0
0.093,-148,490,249,-45,-76,1,-12288,-12288,0,0,0,0
0.094,-219,450,245,-59,-48,1,-12288,-12288,0,0,0,0
0.095,-250,460,260,-75,-39,1,-12288,-12288,0,0,0,0
0.096,-275,447,236,-26,-14,1,-12288,-12288,0,0,0,0
0.097,-320,394,223,-58,-3,1,-12288,-12288,0,0,0,0
0.098,-389,374,251,-44,47,1,-12288,-12288,0,0,0,0
0.099,-402,364,200,-34,72,1,-12288,-12288,0,0,0,0
0.1,-472,348,212,10,78,1,-12288,-12288,0,0,0,0
0.101,-495,290,199,-5,103,1,-12288,-12288,0,0,0,0
0.102,-510,299,171,28,96,1,-12288,-12288,0,0,0,0
