t,q,qdot,q_ref,qdot_ref,qddot_ref,error,tau_cmd,tau_ext,current,heat_power
0,0,0,0,0,0,0,0,0,0,0
0.0009375,8.6205e-12,3.8856e-08,1.0292e-09,3.2928e-06,0.0070214,1.0206e-09,1.2406e-06,0,1.5507e-05,2.8857e-10
0.001875,1.4497e-10,3.0839e-07,8.2282e-09,1.3159e-05,0.014023,8.0832e-09,4.9155e-06,0,6.1444e-05,4.5304e-09
0.0028125,7.3008e-10,1.033e-06,2.7751e-08,2.958e-05,0.021005,2.702e-08,1.0956e-05,0,0.00013695,2.2506e-08
0.00375,2.2921e-09,2.4301e-06,6.5733e-08,5.2537e-05,0.027967,6.3441e-08,1.9294e-05,0,0.00024118,6.9801e-08
0.0046875,5.5621e-09,4.7108e-06,1.2829e-07,8.2012e-05,0.034909,1.2273e-07,2.9865e-05,0,0.00037332,1.6724e-07
0.005625,1.1465e-08,8.0793e-06,2.2154e-07,0.00011799,0.041832,2.1007e-07,4.2605e-05,0,0.00053256,3.4034e-07
0.0065625,2.1114e-08,1.2734e-05,3.5154e-07,0.00016044,0.048735,3.3043e-07,5.745e-05,0,0.00071813,6.1885e-07
0.0075,3.5803e-08,1.8866e-05,5.2438e-07,0.00020936,0.055619,4.8858e-07,7.4341e-05,0,0.00092927,1.0362e-06
0.0085186,5.92e-08,2.7421e-05,7.6777e-07,0.00026981,0.063075,7.0857e-07,9.4941e-05,0,0.0011868,1.6901e-06
0.0095371,9.2409e-08,3.8171e-05,1.0766e-06,0.00033784,0.070508,9.8417e-07,0.00011781,0,0.0014726,2.6024e-06
0.010556,1.3778e-07,5.1338e-05,1.4585e-06,0.00041343,0.077918,1.3208e-06,0.00014288,0,0.001786,3.8277e-06
0.011574,1.9788e-07,6.7138e-05,1.9213e-06,0.00049656,0.085305,1.7235e-06,0.00017007,0,0.0021259,5.4235e-06
0.012593,2.7551e-07,8.5778e-05,2.4726e-06,0.0005872,0.092669,2.1971e-06,0.00019933,0,0.0024916,7.4498e-06
0.013611,3.7366e-07,0.00010746,3.1201e-06,0.00068533,0.10001,2.7464e-06,0.00023058,0,0.0028822,9.9685e-06
0.01463,4.9552e-07,0.00013237,3.8713e-06,0.00079092,0.10733,3.3757e-06,0.00026375,0,0.0032969,1.3043e-05
0.015648,6.4448e-07,0.00016071,4.7338e-06,0.00090396,0.11462,4.0893e-06,0.00029879,0,0.0037349,1.6739e-05
0.016558,8.0325e-07,0.00018904,5.6039e-06,0.0010111,0.12111,4.8007e-06,0.0003316,0,0.0041449,2.0617e-05
0.017467,9.8913e-07,0.00022036,6.5742e-06,0.0011242,0.12759,5.5851e-06,0.00036579,0,0.0045724,2.5089e-05
0.018376,1.2049e-06,0.00025479,7.6499e-06,0.0012431,0.13404,6.445e-06,0.00040135,0,0.0050168,3.0202e-05
0.019285,1.4534e-06,0.00029245,8.8364e-06,0.0013679,0.14048,7.383e-06,0.00043821,0,0.0054776,3.6006e-05
0.020129,1.7161e-06,0.0003304,1.0042e-05,0.001489,0.14644,8.3258e-06,0.00047358,0,0.0059197,4.2052e-05
0.020973,2.012e-06,0.00037131,1.1352e-05,0.0016151,0.15239,9.3396e-06,0.00051001,0,0.0063752,4.8771e-05
0.021817,2.3438e-06,0.00041527,1.277e-05,0.0017463,0.15831,1.0426e-05,0.00054748,0,0.0068436,5.6201e-05
0.022662,2.714e-06,0.00046236,1.4301e-05,0.0018824,0.16423,1.1587e-05,0.00058596,0,0.0073245,6.4379e-05
0.023468,3.1058e-06,0.00051032,1.5872e-05,0.002017,0.16986,1.2767e-05,0.00062362,0,0.0077953,7.292e-05
0.024274,3.5375e-06,0.00056127,1.7554e-05,0.0021562,0.17548,1.4016e-05,0.00066215,0,0.0082769,8.2208e-05
0.02508,4.0114e-06,0.00061528,1.935e-05,0.0022999,0.18108,1.5338e-05,0.00070152,0,0.008769,9.2274e-05
0.025886,4.5302e-06,0.0006724,2.1263e-05,0.0024481,0.18667,1.6733e-05,0.00074171,0,0.0092714,0.00010315
0.026665,5.077e-06,0.00073068,2.3229e-05,0.0025958,0.19206,1.8152e-05,0.00078135,0,0.0097669,0.00011447
0.027445,5.6704e-06,0.00079198,2.5312e-05,0.0027476,0.19744,1.9641e-05,0.00082171,0,0.010271,0.0001266
0.028225,6.3128e-06,0.00085636,2.7515e-05,0.0029037,0.20281,2.1202e-05,0.00086279,0,0.010785,0.00013957
0.029004,7.0066e-06,0.00092387,2.9841e-05,0.0030639,0.20816,2.2834e-05,0.00090454,0,0.011307,0.00015341
0.029764,7.7344e-06,0.0009927,3.2229e-05,0.003224,0.21336,2.4495e-05,0.00094588,0,0.011823,0.00016775
0.030524,8.5156e-06,0.0010646,3.474e-05,0.0033881,0.21855,2.6225e-05,0.00098782,0,0.012348,0.00018296
0.031284,9.3527e-06,0.0011396,3.7378e-05,0.0035561,0.22373,2.8025e-05,0.0010304,0,0.01288,0.00019906
0.032043,1.0248e-05,0.0012177,4.0144e-05,0.003728,0.2289,2.9896e-05,0.0010735,0,0.013419,0.00021608
0.032787,1.1183e-05,0.0012972,4.2981e-05,0.0039001,0.23394,3.1798e-05,0.0011163,0,0.013954,0.00023364
0.033531,1.2178e-05,0.0013799,4.5946e-05,0.004076,0.23897,3.3768e-05,0.0011596,0,0.014495,0.00025212
0.034274,1.3236e-05,0.0014656,4.9044e-05,0.0042556,0.24399,3.5808e-05,0.0012034,0,0.015043,0.00027154
0.035018,1.4359e-05,0.0015545,5.2277e-05,0.0044389,0.249,3.7918e-05,0.0012477,0,0.015597,0.00029191
0.035749,1.5528e-05,0.0016449,5.5587e-05,0.0046226,0.25391,4.0059e-05,0.0012917,0,0.016147,0.00031286
0.036479,1.6763e-05,0.0017385,5.9032e-05,0.0048099,0.25881,4.2269e-05,0.0013362,0,0.016703,0.00033477
0.03721,1.8068e-05,0.0018351,6.2615e-05,0.0050007,0.26369,4.4547e-05,0.0013811,0,0.017264,0.00035766
0.03794,1.9445e-05,0.0019349,6.6339e-05,0.0051951,0.26856,4.6894e-05,0.0014265,0,0.017831,0.00038153
0.03866,2.0873e-05,0.0020363,7.0147e-05,0.0053901,0.27335,4.9273e-05,0.0014715,0,0.018394,0.00040601
0.039379,2.2376e-05,0.0021408,7.4095e-05,0.0055884,0.27813,5.172e-05,0.001517,0,0.018962,0.00043148
0.040098,2.3954e-05,0.0022484,7.8188e-05,0.0057902,0.28289,5.4234e-05,0.0015628,0,0.019535,0.00045796
0.040818,2.5611e-05,0.0023592,8.2427e-05,0.0059954,0.28765,5.6816e-05,0.001609,0,0.020113,0.00048544
