time_s,iq_ref_a,id_a,iq_a,vd_v,vq_v,voltage_mag_norm,wm_rad_per_s
0,-0.3,0,0,0,-0.3,0.04814173,0
5e-05,-0.3,0,0,0,-0.6,0.09628347,0
0.0001,-0.3,7.65155e-06,-0.0974869,-7.65155e-06,-0.8025131,0.1287812,-0.4914171
0.00015,-0.3,0.0001143896,-0.1994903,-0.0001220411,-0.9030228,0.1449103,-1.748605
0.0002,-0.3,0.0004772609,-0.2691909,-0.000599302,-0.9338319,0.1498543,-3.620388
0.00025,-0.3,0.001065816,-0.3033761,-0.001665118,-0.9304558,0.1493127,-5.844374
0.0003,-0.3,0.001659911,-0.3126699,-0.003325028,-0.9177859,0.1472803,-8.203436
0.00035,-0.3,0.002062378,-0.3094105,-0.005387406,-0.9083754,0.1457718,-10.57006
0.0004,-0.3,0.002226076,-0.3024719,-0.007613482,-0.9059035,0.1453777,-12.89329
0.00045,-0.3,0.002224629,-0.2964529,-0.009838112,-0.9094507,0.1459503,-15.16828
0.0005,0.3,0.002164525,-0.2927927,-0.01200264,-0.3166579,0.05085136,-17.40928
0.00055,0.3,0.002120177,-0.2912509,-0.01412281,0.274593,0.04412285,-19.63306
0.0006,0.3,-0.001676524,-0.09609085,-0.01244629,0.6706838,0.1076448,-20.86901
0.00065,0.3,-0.006523399,0.1075092,-0.00592289,0.8631746,0.138519,-20.57492
0.0007,0.3,-0.008983863,0.246456,0.003060973,0.9167185,0.1471089,-19.05498
0.00075,0.3,-0.00794882,0.3145648,0.01100979,0.9021537,0.1447816,-16.83319
0.0008,0.3,-0.004668139,0.3330771,0.01567793,0.8690767,0.1394856,-14.34237
0.00085,0.3,-0.001074119,0.3265639,0.01675205,0.8425128,0.1352268,-11.83665
0.0009,0.3,0.001540817,0.3126902,0.01521123,0.8298227,0.133186,-9.417678
0.00095,0.3,0.002836365,0.300626,0.01237487,0.8291967,0.133078,-7.095325
0.001,-0.3,0.003103372,0.2932622,0.009271495,0.2359345,0.03789021,-4.841216
0.00105,-0.3,0.002829921,0.2901379,0.006441575,-0.3542033,0.05684927,-2.621852
0.0011,-0.3,0.002934783,0.09469562,0.003506792,-0.748899,0.120179,-1.395743
0.00115,-0.3,0.002446674,-0.1086108,0.001060118,-0.9402882,0.1508904,-1.698853
0.0012,-0.3,0.001731059,-0.2470984,-0.0006709406,-0.9931898,0.1593796,-3.224737
0.00125,-0.3,0.001455024,-0.3147797,-0.002125965,-0.9784101,0.1570082,-5.449193
0.0013,-0.3,0.001645893,-0.3329947,-0.003771857,-0.9454155,0.1517143,-7.940136
0.00135,-0.3,0.001955893,-0.3263461,-0.00572775,-0.9190694,0.1474882,-10.44458
0.0014,-0.3,0.002131544,-0.3124726,-0.007859294,-0.9065969,0.1454893,-12.86193
0.00145,-0.3,0.002144828,-0.3004842,-0.01000412,-0.9061127,0.145415,-15.18304
