time_s,iq_ref_a,id_a,iq_a,vd_v,vq_v,voltage_mag_norm,wm_rad_per_s
0,-0.3,0,0,0,-0.1778926,0.02854686,0
5e-05,-0.3,0,0,0,-0.2974796,0.04773728,0
0.0001,-0.3,9.522925e-06,-0.1533985,-5.64686e-06,-0.3261051,0.05233088,-0.4150746
0.00015,-0.3,0.0001303598,-0.2751725,-8.109624e-05,-0.3123349,0.05012115,-1.430263
0.0002,-0.3,0.000446923,-0.3126244,-0.0003207749,-0.3000237,0.04814556,-2.761612
0.00025,-0.3,0.0007838923,-0.3016462,-0.0006987433,-0.3015011,0.04838276,-4.129326
0.0003,-0.3,0.0009633712,-0.2855392,-0.001117648,-0.3103959,0.04981032,-5.43409
0.00035,-0.3,0.00101823,-0.2808453,-0.0015342,-0.3189437,0.05118227,-6.697739
0.0004,-0.3,0.001057005,-0.28415,-0.001963082,-0.3246196,0.05209345,-7.962049
0.00045,-0.3,0.001113966,-0.2881908,-0.002418206,-0.3285417,0.05272332,-9.243123
0.0005,0.3,0.001162104,-0.2898014,-0.002890804,0.0234912,0.003798127,-10.53568
0.00055,0.3,0.001183287,-0.289551,-0.003366606,0.2584513,0.04147782,-11.83041
0.0006,0.3,-0.002366225,0.01786975,-0.001733519,0.3111671,0.04993452,-12.29283
0.00065,0.3,-0.005988004,0.2616838,0.001357339,0.2790551,0.04478118,-11.55319
0.0007,0.3,-0.005653103,0.3365635,0.003545709,0.249927,0.04011044,-10.18085
0.00075,0.3,-0.002330351,0.3145345,0.003828858,0.2484147,0.03986844,-8.736036
0.0008,0.3,0.0006317785,0.2822866,0.00300132,0.261743,0.0420053,-7.417348
0.00085,0.3,0.001629352,0.2728824,0.002157942,0.2743805,0.04403187,-6.180991
0.0009,0.3,0.001282286,0.2794736,0.001714246,0.2812817,0.0451388,-4.943386
0.00095,0.3,0.0007603709,0.2875396,0.00151258,0.2846811,0.04568412,-3.672326
0.001,-0.3,0.0006122608,0.2907541,0.001297304,-0.0680432,0.01092104,-2.378338
0.00105,-0.3,0.0007528439,0.2902526,0.00096988,-0.3032342,0.04866098,-1.080037
0.0011,-0.3,0.001280134,-0.01783114,0.000357109,-0.3558366,0.05710199,-0.6162512
0.00115,-0.3,0.001219915,-0.2619598,-0.000117474,-0.3235534,0.0519214,-1.356534
0.0012,-0.3,0.0009339377,-0.3367681,-0.000434183,-0.2943576,0.04723634,-2.729904
0.00125,-0.3,0.0008416008,-0.3145443,-0.0007517189,-0.2928792,0.04699919,-4.17511
0.0013,-0.3,0.000867594,-0.2821899,-0.001102614,-0.3062668,0.04914771,-5.493565
0.00135,-0.3,0.000932876,-0.2727998,-0.001487168,-0.3189345,0.05118075,-6.729534
0.0014,-0.3,0.001039445,-0.2794519,-0.001922227,-0.3258326,0.05228806,-7.966939
0.00145,-0.3,0.001151362,-0.2875592,-0.002402938,-0.3292161,0.05283152,-9.238016
0.0015,0.3,0.001210518,-0.2907801,-0.002896976,0.02351984,0.003802809,-10.53211
0.00155,0.3,0.001208914,-0.2902698,-0.003378566,0.258716,0.04152032,-11.83051
0.0016,0.3,-0.002367696,0.01780178,-0.001739625,0.3113324,0.04996105,-12.29438
0.00165,0.3,-0.006001446,0.2619076,0.001358918,0.2790745,0.04478429,-11.55426
0.0017,0.3,-0.005662166,0.3367382,0.00355005,0.2498863,0.04010391,-10.18105
0.00175,0.3,-0.002330516,0.3145743,0.003831534,0.2483843,0.03986357,-8.735818
0.0018,0.3,0.0006358251,0.282256,0.003001565,0.2617386,0.04200459,-7.417142
0.00185,0.3,0.001632676,0.2728519,0.002157003,0.2743882,0.0440331,-6.180923
0.0019,0.3,0.001283016,0.2794655,0.001713519,0.2812883,0.04513986,-4.943393
0.00195,0.3,0.0007598475,0.2875452,0.001512306,0.2846828,0.04568438,-3.672332
0.002,-0.3,0.0006116368,0.2907602,0.001297298,-0.06804413,0.01092119,-2.378318
0.00205,-0.3,0.0007527545,0.290255,0.000969806,-0.3032353,0.04866115,-1.079999
0.0021,-0.3,0.001280184,-0.01783185,0.0003569879,-0.3558368,0.05710202,-0.6162115
0.00215,-0.3,0.001219761,-0.2619611,-0.0001174938,-0.323553,0.05192134,-1.356499
0.0022,-0.3,0.0009338744,-0.3367684,-0.0004341953,-0.2943572,0.04723627,-2.729873
0.00225,-0.3,0.0008414984,-0.3145441,-0.0007516827,-0.292879,0.04699915,-4.175079
0.0023,-0.3,0.0008676499,-0.2821895,-0.001102631,-0.3062668,0.04914771,-5.493532
0.00235,-0.3,0.0009327009,-0.2727998,-0.00148707,-0.3189344,0.05118073,-6.729502
0.0024,-0.3,0.001039412,-0.279452,-0.001922143,-0.3258325,0.05228804,-7.966907
0.00245,-0.3,0.001151301,-0.2875591,-0.002402824,-0.3292161,0.05283151,-9.237984
0.0025,0.3,0.001210459,-0.2907802,-0.002896839,0.02351999,0.00380283,-10.53208
0.00255,0.3,0.001209106,-0.2902697,-0.003378554,0.258716,0.04152033,-11.83047
0.0026,0.3,-0.0023674,0.01780184,-0.001739752,0.3113325,0.04996106,-12.29435
0.00265,0.3,-0.00600145,0.2619076,0.001358851,0.2790745,0.0447843,-11.55423
0.0027,0.3,-0.005662482,0.3367378,0.00355017,0.2498866,0.04010396,-10.18102
0.00275,0.3,-0.002331052,0.3145744,0.003831911,0.2483844,0.03986359,-8.735786
0.0028,0.3,0.0006360896,0.2822562,0.003001681,0.2617386,0.04200459,-7.41711
0.00285,0.3,0.001633178,0.2728519,0.002156872,0.2743883,0.04403311,-6.18089
0.0029,0.3,0.00128302,0.2794657,0.001713484,0.2812883,0.04513986,-4.94336
0.00295,0.3,0.0007593781,0.2875453,0.001512549,0.2846827,0.04568437,-3.672298
0.003,-0.3,0.0006117709,0.2907602,0.001297371,-0.06804413,0.01092119,-2.378284
0.00305,-0.3,0.0007528067,0.2902547,0.000969874,-0.3032352,0.04866114,-1.079966
0.0031,-0.3,0.001280358,-0.01783193,0.0003569629,-0.3558367,0.05710201,-0.6161785
0.00315,-0.3,0.00121985,-0.261961,-0.0001175379,-0.3235529,0.05192133,-1.356466
0.0032,-0.3,0.000933744,-0.3367685,-0.0004341447,-0.2943572,0.04723626,-2.72984
0.00325,-0.3,0.0008413531,-0.3145443,-0.0007515713,-0.2928788,0.04699912,-4.175046
0.0033,-0.3,0.0008677393,-0.2821895,-0.001102601,-0.3062666,0.04914767,-5.4935
0.00335,-0.3,0.000932809,-0.2727998,-0.001487086,-0.3189342,0.05118071,-6.729469
0.0034,-0.3,0.001039546,-0.2794518,-0.001922218,-0.3258323,0.05228802,-7.966874
0.00345,-0.3,0.001151226,-0.2875591,-0.002402829,-0.3292159,0.05283149,-9.23795
0.0035,0.3,0.001210421,-0.2907803,-0.002896836,0.02352017,0.003802859,-10.53205
0.00355,0.3,0.001208987,-0.2902699,-0.003378488,0.2587163,0.04152037,-11.83044
0.0036,0.3,-0.002367448,0.01780182,-0.00173968,0.3113327,0.0499611,-12.29432
0.00365,0.3,-0.006001666,0.2619076,0.001359042,0.2790748,0.04478434,-11.55419
0.0037,0.3,-0.005662575,0.3367381,0.003550373,0.2498867,0.04010397,-10.18098
