time_s,iq_ref_a,id_a,iq_a,vd_v,vq_v,voltage_mag_norm,wm_rad_per_s
0,-0.3,0,0,0,-0.3,0.04814173,0
5e-05,-0.3,0,0,0,-0.6,0.09628347,0
0.0001,-0.3,2.718733e-05,-0.2586925,-2.718733e-05,-0.6413075,0.1029122,-0.6999854
0.00015,-0.3,0.0004562977,-0.5488418,-0.0004834851,-0.3924657,0.06297997,-2.641434
0.0002,-0.3,0.00162523,-0.616303,-0.002108715,-0.0761627,0.0122267,-5.277277
0.00025,-0.3,0.001783298,-0.4026307,-0.003892013,0.02646798,0.004293055,-7.453962
0.0003,-0.3,-0.0008920595,-0.09571872,-0.002999953,-0.1778133,0.0285382,-8.423236
0.00035,-0.3,-0.003646388,0.03543346,0.000646435,-0.5132468,0.08236203,-8.496199
0.0004,-0.3,-0.001860773,-0.1234901,0.002507207,-0.6897567,0.1106877,-8.767835
0.00045,-0.3,0.00424606,-0.4324937,-0.001738852,-0.557263,0.08942579,-10.15597
0.0005,0.3,0.009060327,-0.6205966,-0.01079918,0.3633337,0.05833079,-12.59823
0.00055,0.3,0.006212003,-0.5234972,-0.01701118,1.186831,0.1904732,-15.10954
0.0006,0.3,-0.01248947,0.2902126,-0.004521712,1.196618,0.1920256,-15.24763
0.00065,0.3,-0.03172123,1.106045,0.02719952,0.3905728,0.06282797,-11.74268
0.0007,0.3,-0.02103451,1.210027,0.04823403,-0.5194536,0.08371657,-6.517339
0.00075,0.3,0.01788504,0.5131955,0.03034899,-0.732649,0.1176708,-2.994171
0.0008,0.3,0.04567201,-0.3723342,-0.01532302,-0.06031483,0.009986331,-3.096388
0.00085,0.3,0.03463458,-0.6707271,-0.0499576,0.9104123,0.1463159,-5.56817
0.0009,0.3,-0.008004915,-0.1224572,-0.04195268,1.33287,0.2139947,-7.08267
0.00095,0.3,-0.04931535,0.7899459,0.007362667,0.8429236,0.1352712,-5.161052
0.001,-0.3,-0.04870685,1.266904,0.05606952,-0.7239804,0.1165268,-0.339435
0.00105,-0.3,-0.0004706383,0.8921291,0.05654015,-1.91611,0.3076166,4.309489
0.0011,-0.3,0.04673337,-0.5216077,0.009806782,-1.694502,0.2719254,4.472034
0.00115,-0.3,0.04910585,-1.733376,-0.03929906,-0.2611262,0.04237545,-1.138409
0.0012,-0.3,0.01720504,-1.682493,-0.0565041,1.121367,0.1801768,-8.748876
0.00125,-0.3,-0.02851552,-0.4175144,-0.02798858,1.238881,0.1988571,-12.84645
0.0013,-0.3,-0.06364162,0.9503796,0.03565305,-0.01149809,0.0060115,-11.01104
0.00135,-0.3,-0.04482779,1.223892,0.08048083,-1.53539,0.246726,-6.022755
0.0014,-0.3,0.02444217,0.166852,0.05603866,-2.002242,0.3214305,-3.412326
0.00145,-0.3,0.07858741,-1.291882,-0.02254875,-1.01036,0.1621753,-6.613836
