time_s,iq_ref_a,id_a,iq_a,vd_v,vq_v,voltage_mag_norm,wm_rad_per_s
0,-0.3,0,0,0,-0.04146902,0.006654635,0
5e-05,-0.3,0,0,0,-0.1168673,0.01875397,0
0.0001,-0.3,6.20444e-07,-0.03575904,-8.576401e-08,-0.1873225,0.0300601,-0.09675892
0.00015,-0.3,1.329903e-05,-0.105124,-1.994261e-06,-0.2441452,0.03917857,-0.4442922
0.0002,-0.3,8.188517e-05,-0.1738373,-1.481734e-05,-0.2836246,0.04551394,-1.100121
0.00025,-0.3,0.0002573062,-0.2297942,-5.964579e-05,-0.3075978,0.04936098,-2.028578
0.0003,-0.3,0.000548422,-0.2683307,-0.0001645549,-0.3199156,0.05133764,-3.160023
0.00035,-0.3,0.0009101395,-0.2906337,-0.0003523886,-0.324792,0.0521202,-4.4198
0.0004,-0.3,0.001270404,-0.3003997,-0.000630931,-0.325796,0.05228138,-5.745348
0.00045,-0.3,0.001566563,-0.3019281,-0.0009911564,-0.3254843,0.05223151,-7.092261
0.0005,0.3,0.001766123,-0.2989858,-0.001412462,-0.2424684,0.03891015,-8.433909
0.00055,0.3,0.001868892,-0.2943461,-0.001870543,-0.09256819,0.01485768,-9.757812
0.0006,0.3,0.001209319,-0.2182267,-0.002249073,0.04628529,0.007436277,-10.86756
0.00065,0.3,-0.0004790027,-0.07580864,-0.002319631,0.1568434,0.0251718,-11.45765
0.0007,0.3,-0.002456751,0.06413087,-0.001925861,0.2319506,0.03722296,-11.41784
0.00075,0.3,-0.003977363,0.1774816,-0.001098217,0.2755625,0.04422053,-10.82445
0.0008,0.3,-0.004542187,0.2551782,-2.05214e-05,0.2956147,0.04743801,-9.820867
0.00085,0.3,-0.004108484,0.2998823,0.001061104,0.3007002,0.0482544,-8.559259
0.0009,0.3,-0.002965348,0.3192294,0.001935663,0.2980554,0.04783069,-7.166444
0.00095,0.3,-0.001526197,0.3219918,0.002482002,0.2928407,0.04699455,-5.732028
0.001,-0.3,-0.0001530014,0.3158101,0.00267576,0.20523,0.03293656,-4.309467
0.00105,-0.3,0.0009298958,0.3062839,0.002564525,0.0517769,0.008318951,-2.923588
0.0011,-0.3,0.001847474,0.2253799,0.00220398,-0.08941551,0.01435308,-1.773428
0.00115,-0.3,0.00235602,0.07914501,0.001669362,-0.2012438,0.0322952,-1.161682
0.0012,-0.3,0.002314195,-0.06338571,0.001083011,-0.2768313,0.04442414,-1.193576
0.00125,-0.3,0.001979066,-0.1782006,0.0005477156,-0.3204281,0.05141995,-1.787581
0.0013,-0.3,0.001658608,-0.2564986,9.461897e-05,-0.3402165,0.05459538,-2.795995
0.00135,-0.3,0.001516236,-0.3012446,-0.0003025546,-0.3449644,0.0553573,-4.063611
0.0014,-0.3,0.00154857,-0.3203394,-0.0006880958,-0.3420121,0.05488363,-5.461832
0.00145,-0.3,0.001666091,-0.3227509,-0.001093539,-0.3365669,0.05401,-6.900263
0.0015,0.3,0.001779092,-0.31624,-0.001527893,-0.248811,0.03992806,-8.325333
0.00155,0.3,0.001839098,-0.3064629,-0.001983323,-0.09528446,0.01529384,-9.712461
0.0016,0.3,0.001156161,-0.2254024,-0.002351136,0.04593129,0.007380356,-10.863
0.00165,0.3,-0.0005532806,-0.0790958,-0.002405415,0.1577553,0.02531833,-11.47464
0.0017,0.3,-0.002549125,0.06344911,-0.001990474,0.2333285,0.03744416,-11.44248
0.00175,0.3,-0.004076027,0.1782517,-0.001138745,0.2769111,0.04443697,-10.84821
0.0018,0.3,-0.004629932,0.2565363,-3.77617e-05,0.2966885,0.04761033,-9.839586
0.00185,0.3,-0.00417283,0.3012764,0.001062682,0.3014277,0.04837114,-8.571811
0.0019,0.3,-0.003001407,0.3203732,0.001949503,0.2984671,0.04789677,-7.173441
0.00195,0.3,-0.001536783,0.3227882,0.002501383,0.293013,0.04702222,-5.734852
0.002,-0.3,-0.0001457222,0.3162769,0.002695332,0.2052477,0.03293944,-4.309623
0.00205,-0.3,0.0009463914,0.3064937,0.002580993,0.05171273,0.008308797,-2.922353
0.0021,-0.3,0.001866845,0.2254186,0.002215905,-0.08950875,0.01436809,-1.771718
0.00215,-0.3,0.002372866,0.07908956,0.001676768,-0.2013338,0.03230964,-1.160053
0.0022,-0.3,0.00232669,-0.06347822,0.001086785,-0.2769022,0.04443552,-1.192295
