sample_time_us,pll_bandwidth_hz,pll_kp,pll_ki,rise_time_ms,settling_time_ms,overshoot_pct,steady_speed_noise_std_rad_s,phase_at_20hz_deg,final_motor_speed_rad_s
50,80,1005.30964914873,252661.872667888,7.7,9.45,0,0.000206599709088816,-1.68743575877497,899.999814529118
50,120,1507.9644737231,568489.213502747,5.15,6.3,0,1.59723210501538e-07,-0.669695593129227,899.999999892128
50,180,2261.94671058465,1279100.73038118,3.4,4.2,2.77901158875061e-13,6.58134939369724e-12,-0.331575782668307,899.999999999997
50,240,3015.9289474462,2273956.85401099,2.55,3.15,8.46335347483141e-13,1.50472050527964e-12,-0.244961173426738,900.000000000002
100,80,1005.30964914873,252661.872667888,7.7,9.5,0,0.000347736101329219,-1.86743575877497,899.999675632001
100,120,1507.9644737231,568489.213502747,5.1,6.3,0,4.90052800137636e-07,-0.849695593129227,899.999999654912
100,180,2261.94671058465,1279100.73038118,3.4,4.2,1.01054966863659e-13,5.09327879709182e-11,-0.511575782668307,899.999999999971
100,240,3015.9289474462,2273956.85401099,2.5,3.2,3.41060513164848e-13,6.67879695566134e-13,-0.424961173426737,900.000000000001
200,80,1005.30964914873,252661.872667888,7.6,9.6,0,0.000721756266666743,-2.22743575877497,899.999293141773
200,120,1507.9644737231,568489.213502747,5,6.4,0,2.08232073974314e-06,-1.20969559312923,899.999998453571
200,180,2261.94671058465,1279100.73038118,3.4,4.2,0,6.98117187991376e-10,-0.871575782668307,899.999999999593
200,240,3015.9289474462,2273956.85401099,2.6,3.2,3.41060513164848e-13,1.43426110693281e-12,-0.784961173426738,900
400,80,1005.30964914873,252661.872667888,7.8,9.8,0,0.00198375389133114,-2.94743575877497,899.997941273926
400,120,1507.9644737231,568489.213502747,5.4,6.6,0,1.32551661174442e-05,-1.92969559312923,899.999989497279
400,180,2261.94671058465,1279100.73038118,3.4,4.6,0,1.65787490330772e-08,-1.59157578266831,899.999999989607
400,240,3015.9289474462,2273956.85401099,2.6,3.4,4.54747350886464e-13,4.23916523307688e-11,-1.50496117342674,899.999999999977
