speed_sample_time_us,speed_bandwidth_hz,speed_kp,speed_ki,speed_kaw,pll_bandwidth_hz,pll_speed_minus3db_hz,pll_kp,pll_ki,pll_zero_speed_threshold_rad_s,final_ref_rad_s,final_joint_speed_rad_s,final_joint_speed_ideal_rad_s,final_error_rad_s,final_speed_est_error_rad_s,rise_time_ms,settling_time_ms,overshoot_pct,speed_est_error_abs_max_rad_s,iq_ref_abs_max_a,iq_abs_max_a,voltage_mag_norm_max,motor_speed_rad_s_max,nonfinite_detected
100,20,0.302884578704834,19.0307998657227,125.663703918457,120,77.2313103486699,1507.96447753906,568489.1875,0.00136258045677096,4,4.00000143051147,4.00000238418579,-1.43051147460938e-06,-9.5367431640625e-07,6.6,22.1,42.19217,2.215487,1.281901,1.289767,0.8594106,1085.567,0
100,20,0.302884578704834,19.0307998657227,125.663703918457,240,154.46262069734,3015.92895507812,2273956.75,0.00545032182708383,4,4.00000667572021,3.99999928474426,-6.67572021484375e-06,7.39097595214844e-06,5.8,30.1,21.49558,1.149246,1.252971,1.289767,0.7262129,894.3673,0
100,20,0.302884578704834,19.0307998657227,125.663703918457,360,231.69393104601,4523.8935546875,5116403,0.0122632244601846,4,4.00000476837158,3.99999928474426,-4.76837158203125e-06,5.48362731933594e-06,5.8,31.2,17.72599,0.7773837,1.243139,1.289767,0.6790873,864.1544,0
100,20,0.302884578704834,19.0307998657227,125.663703918457,480,308.92524139468,6031.85791015625,9095827,0.0218012873083353,4,4.00000810623169,3.99999976158142,-8.10623168945312e-06,8.34465026855469e-06,5.8,31.7,16.55233,0.5863853,1.238165,1.289767,0.6547496,855.1414,0
100,20,0.302884578704834,19.0307998657227,125.663703918457,600,386.15655174335,7539.822265625,14212230,0.0340645126998425,4,4.00000953674316,3.9999988079071,-9.5367431640625e-06,1.07288360595703e-05,5.9,32,15.98072,0.4695897,1.235395,1.289767,0.6398392,850.8071,0
100,20,0.302884578704834,19.0307998657227,125.663703918457,720,463.38786209202,9047.787109375,20465612,0.0490528978407383,4,4.00000429153442,4,-4.29153442382812e-06,4.29153442382812e-06,5.9,32.1,15.63998,0.3901536,1.233111,1.289767,0.6297246,848.2427,0
100,40,0.605769157409668,76.1231994628906,251.327407836914,120,77.2313103486699,1507.96447753906,568489.1875,0.00136258045677096,4,4.00053691864014,4.00078630447388,-0.000536918640136719,-0.000249385833740234,5.4,57.8,75.33902,2.695321,2.730102,2.111129,1,1427.123,0
100,40,0.605769157409668,76.1231994628906,251.327407836914,240,154.46262069734,3015.92895507812,2273956.75,0.00545032182708383,4,4.00000858306885,4.00000095367432,-8.58306884765625e-06,7.62939453125e-06,4.1,12.3,52.24903,1.623792,2.598712,2.111129,1,1174.444,0
100,40,0.605769157409668,76.1231994628906,251.327407836914,360,231.69393104601,4523.8935546875,5116403,0.0122632244601846,4,4.00000953674316,3.99999952316284,-9.5367431640625e-06,1.00135803222656e-05,3.6,14.6,39.19965,1.165941,2.555882,2.111129,1,1044.272,0
100,40,0.605769157409668,76.1231994628906,251.327407836914,480,308.92524139468,6031.85791015625,9095827,0.0218012873083353,4,4.00000858306885,3.99999785423279,-8.58306884765625e-06,1.07288360595703e-05,3.4,15.4,31.10878,0.9081999,2.534387,2.111129,1,971.5869,0
100,40,0.605769157409668,76.1231994628906,251.327407836914,600,386.15655174335,7539.822265625,14212230,0.0340645126998425,4,4.00000810623169,3.99999737739563,-8.10623168945312e-06,1.07288360595703e-05,3.3,15.6,25.94176,0.7420337,2.52072,2.111129,1,927.7601,0
100,40,0.605769157409668,76.1231994628906,251.327407836914,720,463.38786209202,9047.787109375,20465612,0.0490528978407383,4,4.00000810623169,3.99999833106995,-8.10623168945312e-06,9.77516174316406e-06,3.2,15.7,22.7352,0.6267327,2.512424,2.111129,1,901.7928,0
100,60,0.908653795719147,171.277206420898,376.991119384766,120,77.2313103486699,1507.96447753906,568489.1875,0.00136258045677096,4,6.24513339996338,3.33168792724609,-2.24513339996338,2.91344547271729,5.4,NaN,84.40952,4.482773,4,2.806099,1,1502.233,0
100,60,0.908653795719147,171.277206420898,376.991119384766,240,154.46262069734,3015.92895507812,2273956.75,0.00545032182708383,4,4.00000429153442,3.99999713897705,-4.29153442382812e-06,7.15255737304688e-06,4.1,23.3,71.17646,1.722614,4,2.107287,1,1337.204,0
100,60,0.908653795719147,171.277206420898,376.991119384766,360,231.69393104601,4523.8935546875,5116403,0.0122632244601846,4,4.00000524520874,3.99999594688416,-5.24520874023438e-06,9.29832458496094e-06,3.6,15.6,62.95236,1.166051,3.983182,2.107287,1,1251.411,0
100,60,0.908653795719147,171.277206420898,376.991119384766,480,308.92524139468,6031.85791015625,9095827,0.0218012873083353,4,3.99999308586121,3.99999237060547,6.91413879394531e-06,7.15255737304688e-07,3.4,9.8,57.46537,0.9083774,3.91986,2.107287,1,1196.129,0
100,60,0.908653795719147,171.277206420898,376.991119384766,600,386.15655174335,7539.822265625,14212230,0.0340645126998425,4,3.99999141693115,3.99999713897705,8.58306884765625e-06,-5.7220458984375e-06,3.3,10.1,53.71988,0.7417752,3.881466,2.107287,1,1159.235,0
100,60,0.908653795719147,171.277206420898,376.991119384766,720,463.38786209202,9047.787109375,20465612,0.0490528978407383,4,3.99999499320984,3.99999523162842,5.00679016113281e-06,-2.38418579101562e-07,3.2,10.8,50.97541,0.6268153,3.853635,2.107287,1,1131.622,0
100,80,1.21153831481934,304.492797851562,502.654815673828,120,77.2313103486699,1507.96447753906,568489.1875,0.00136258045677096,4,0.199959099292755,-0.716444849967957,3.80004090070724,0.916403949260712,5.4,NaN,76.19036,4.683257,4,3.399395,1,1466.11,0
100,80,1.21153831481934,304.492797851562,502.654815673828,240,154.46262069734,3015.92895507812,2273956.75,0.00545032182708383,4,3.99991106987,4.00002574920654,8.89301300048828e-05,-0.000114679336547852,4.1,48.4,67.03324,2.470097,4,2.920322,1,1319.314,0
100,80,1.21153831481934,304.492797851562,502.654815673828,360,231.69393104601,4523.8935546875,5116403,0.0122632244601846,4,3.99998641014099,3.99999952316284,1.35898590087891e-05,-1.31130218505859e-05,3.6,17.6,61.86479,1.445421,4,2.443986,1,1250.876,0
100,80,1.21153831481934,304.492797851562,502.654815673828,480,308.92524139468,6031.85791015625,9095827,0.0218012873083353,4,3.99998736381531,3.99999308586121,1.26361846923828e-05,-5.7220458984375e-06,3.4,13.2,58.69637,0.9872303,4,2.172537,1,1210.899,0
100,80,1.21153831481934,304.492797851562,502.654815673828,600,386.15655174335,7539.822265625,14212230,0.0340645126998425,4,3.99998497962952,3.99999809265137,1.50203704833984e-05,-1.31130218505859e-05,3.2,10,56.55266,0.7416968,4,2.106128,1,1184.778,0
100,80,1.21153831481934,304.492797851562,502.654815673828,720,463.38786209202,9047.787109375,20465612,0.0490528978407383,4,3.99998712539673,3.99999618530273,1.28746032714844e-05,-9.05990600585938e-06,3.2,8.1,54.97215,0.6268395,4,2.106128,1,1166.372,0
