cycle,frame_index,src,dst,cmd,position_raw,speed_raw,torque_raw,error_code,temperature,position_rad,speed_rad,torque_nm
2,1,0x04,0xFE,0x02,0,-4,3,0x0000,120,0.000047938,-0.002136263,0.000534066
3,2,0x04,0xFE,0x02,0,-4,1,0x0000,120,0.000047938,-0.002136263,0.000228885
4,3,0x04,0xFE,0x02,0,-5,1,0x0000,120,0.000047938,-0.002746624,0.000228885
5,4,0x04,0xFE,0x02,0,2,3,0x0000,120,0.000047938,0.001525902,0.000534066
6,5,0x04,0xFE,0x02,0,-5,3,0x0000,120,0.000047938,-0.002746624,0.000534066
7,6,0x04,0xFE,0x02,0,2,414,0x0000,120,0.000047938,0.001525902,0.063248646
8,7,0x04,0xFE,0x02,0,19,476,0x0000,120,0.000047938,0.011902037,0.072709239
9,8,0x04,0xFE,0x02,0,36,530,0x0000,120,0.000047938,0.022278172,0.080949111
10,9,0x04,0xFE,0x02,1,74,640,0x0000,120,0.000143813,0.045471885,0.097734035
11,10,0x04,0xFE,0x02,3,114,654,0x0000,120,0.000335563,0.069886320,0.099870298
12,11,0x04,0xFE,0x02,5,176,736,0x0000,120,0.000527314,0.107728695,0.112382696
13,12,0x04,0xFE,0x02,8,238,745,0x0000,120,0.000814940,0.145571069,0.113756008
14,13,0x04,0xFE,0x02,13,341,779,0x0000,120,0.001294316,0.208438239,0.118944076
15,14,0x04,0xFE,0x02,16,418,787,0x0000,120,0.001581942,0.255436027,0.120164797
16,15,0x04,0xFE,0x02,23,538,814,0x0000,120,0.002253069,0.328679332,0.124284733
17,16,0x04,0xFE,0x02,28,632,810,0x0000,120,0.002732445,0.386053254,0.123674372
18,17,0x04,0xFE,0x02,37,778,849,0x0000,120,0.003595322,0.475165942,0.129625391
19,18,0x04,0xFE,0x02,44,877,801,0x0000,120,0.004266449,0.535591669,0.122301061
20,19,0x04,0xFE,0x02,55,1047,789,0x0000,120,0.005321077,0.639353017,0.120469978
21,20,0x04,0xFE,0x02,64,1167,758,0x0000,120,0.006183954,0.712596323,0.115739681
22,21,0x04,0xFE,0x02,77,1341,742,0x0000,120,0.007430333,0.818799115,0.113298238
23,22,0x04,0xFE,0x02,88,1459,653,0x0000,120,0.008484961,0.890821698,0.099717708
24,23,0x04,0xFE,0x02,103,1631,647,0x0000,120,0.009923090,0.995803769,0.098802167
25,24,0x04,0xFE,0x02,115,1739,589,0x0000,120,0.011073593,1.061722744,0.089951934
26,25,0x04,0xFE,0x02,132,1890,579,0x0000,120,0.012703472,1.153887236,0.088426032
