segment_id,window_id,sample_count,t_start_s,t_end_s,i_mean_A,torque_mean_Nm,speed_mean_rad_s,accel_fit_rad_s2,naive_J_kgm2,is_pulse_segment
2,1,31,0.109,0.139,0.240339988609879,0.00144203993165928,25.2682000992572,1032.15087447092,1.39712126136449e-06,1
2,2,31,0.124,0.154,0.239571835007355,0.00143743101004413,40.5720123396319,1007.77431864272,1.42634217150926e-06,1
2,3,31,0.139,0.169,0.239427477201604,0.00143656486320962,55.507301483287,981.900069407203,1.46304589231459e-06,1
3,1,31,0.188,0.218,-0.000124174071339043,-7.45044428034256e-07,74.7415018654393,-248.886046584757,2.99351626279513e-09,0
3,2,31,0.203,0.233,0.000235465390924629,1.41279234554778e-06,71.0500275745663,-243.799777341217,-5.79488775976386e-09,0
3,3,31,0.218,0.248,5.66181458491631e-05,3.39708875094979e-07,67.4438020027237,-237.350649621884,-1.43125319284425e-09,0
4,1,31,0.268,0.298,-0.240623027734763,-0.00144373816640858,29.0152040904941,-1373.05067556934,1.05148206988787e-06,1
4,2,31,0.283,0.313,-0.240337276224456,-0.00144202365734674,8.94276881528213,-1302.64107754952,1.10699998810065e-06,1
4,3,30,0.299,0.328,-0.239623094803744,-0.00143773856882247,-9.57882526214519,-1072.93679718849,1.34000303893938e-06,1
5,1,31,0.348,0.378,-0.000243837149355263,-1.46302289613158e-06,-33.0711075911044,180.758738915615,-8.09378791259754e-09,0
5,2,31,0.363,0.393,0.000286973180276033,1.7218390816562e-06,-30.3969233721919,174.953008009727,9.84172322181776e-09,0
5,3,31,0.378,0.408,0.000607864346596327,3.64718607957796e-06,-27.8017003578919,172.368114950628,2.11592850604802e-08,0
6,1,30,0.428,0.457,0.239909466692068,0.00143945680015241,5.19593628273656,1115.72806921752,1.29015020762355e-06,1
6,2,30,0.443,0.472,0.239789605156198,0.00143873763093719,21.4315099855052,1039.35731906027,1.38425698703696e-06,1
6,3,31,0.458,0.488,0.2397047595065,0.001438228557039,37.3603707454405,1012.69439281834,1.4201999806046e-06,1
7,1,31,0.508,0.538,-0.000128207179162301,-7.69243074973809e-07,58.9706857732219,-223.464998193352,3.4423425645757e-09,0
7,2,31,0.523,0.553,-0.000483124659597509,-2.89874795758506e-06,55.6392479384398,-217.485320896845,1.33284763570777e-08,0
7,3,31,0.538,0.568,-0.000726014719729585,-4.35608831837751e-06,52.4138776307174,-212.349187989634,2.05137978610503e-08,0
