cmd_seq,t_s,feedback_valid,error_code,segment_id,is_pulse,i_cmd_A,i_meas_A,torque_nm,position_rad,speed_rad_s,v_required_V,Vdc_V,voltage_saturated
0,0,1,0,1,0,0,-0.00179356578720532,-1.07613947232319e-05,-3.30588133146661e-05,0.0497536620941723,0,12,0
1,0.001,1,0,1,0,0,0.00137167453970179,8.23004723821074e-06,-0.000160549440650142,0.0412830812508856,0,12,0
2,0.002,1,0,1,0,0,-0.000775523764523757,-4.65314258714254e-06,-0.000171783870998821,-0.0245534154932734,0,12,0
3,0.003,1,0,1,0,0,0.00130617914657375,7.83707487944251e-06,1.25596256049859e-05,-0.0269785073195588,0,12,0
4,0.004,1,0,1,0,0,0.00230231648551177,1.38138989130706e-05,-4.26425854665338e-05,0.0579384184130088,0,12,0
5,0.005,1,0,1,0,0,0.000173326961472295,1.03996176883377e-06,-5.59127512220055e-05,0.0921761425425513,0,12,0
6,0.006,1,0,1,0,0,3.25134879728639e-06,1.95080927837183e-08,-0.000137092264739465,0.00198288563402727,0,12,0
7,0.007,1,0,1,0,0,-0.00239838766801014,-1.43903260080608e-05,-9.95130630466059e-05,0.0918038440690233,0,12,0
8,0.008,1,0,1,0,0,-0.000378268008947423,-2.26960805368454e-06,-1.73398544279948e-05,-0.104627798799788,0,12,0
9,0.009,1,0,1,0,0,-7.4730901973086e-07,-4.48385411838516e-09,-6.48919607409108e-05,-0.0109045680787024,0,12,0
10,0.01,1,0,1,0,0,0.00170685938705744,1.02411563223447e-05,-1.51596371241135e-05,0.0276394452821203,0,12,0
11,0.011,1,0,1,0,0,0.0015135771943671,9.08146316620257e-06,-8.56919400102728e-06,-0.138297676587586,0,12,0
12,0.012,1,0,1,0,0,-0.00064493965119408,-3.86963790716448e-06,-2.8363798445003e-05,0.00822667047921053,0,12,0
13,0.013,1,0,1,0,0,-0.00323293667052785,-1.93976200231671e-05,-0.000116105048908617,0.126840928900024,0,12,0
14,0.014,1,0,1,0,0,-0.00157790648959812,-9.46743893758873e-06,-6.08451439900909e-05,-0.0863811155912256,0,12,0
15,0.015,1,0,1,0,0,0.00311755102635968,1.87053061581581e-05,0.000203945757255233,-0.169251723412582,0,12,0
16,0.016,1,0,1,0,0,-0.00145965411073254,-8.75792466439521e-06,-4.74871551850214e-05,0.00886299304017322,0,12,0
17,0.017,1,0,1,0,0,-0.00050868928712116,-3.05213572272696e-06,-1.33305104538301e-05,0.0216990067404996,0,12,0
18,0.018,1,0,1,0,0,0.00194149728980351,1.16489837388211e-05,2.77809248327647e-05,-0.0940746520242365,0,12,0
19,0.019,1,0,1,0,0,-0.00386748060607678,-2.32048836364607e-05,0.000141244293286699,-0.0483015913365397,0,12,0
20,0.02,1,0,1,0,0,0.000446814490070841,2.68088694042505e-06,5.09023665151569e-05,-0.022712061980453,0,12,0
21,0.021,1,0,1,0,0,0.00416079585242789,2.49647751145674e-05,0.000237349683733195,-0.0965265879813125,0,12,0
22,0.022,1,0,1,0,0,-0.00101951840528213,-6.1171104316928e-06,7.06134084145031e-06,0.0594460615316444,0,12,0
23,0.023,1,0,1,0,0,0.000414004416951925,2.48402650171155e-06,-0.000162104202129404,-0.083291555651087,0,12,0
24,0.024,1,0,1,0,0,0.00447207640440301,2.68324584264181e-05,1.04062331903075e-05,0.079279848899886,0,12,0
25,0.025,1,0,1,0,0,-0.00212452062256536,-1.27471237353922e-05,-1.61367087266909e-05,0.0509487821432487,0,12,0
26,0.026,1,0,1,0,0,0.000125568249270004,7.53409495620023e-07,6.92556056359257e-05,-0.210521857575386,0,12,0
27,0.027,1,0,1,0,0,0.00129570744766703,7.77424468600218e-06,-0.000150849525054339,0.0628079908402053,0,12,0
28,0.028,1,0,1,0,0,0.000667258032248176,4.00354819348906e-06,6.62422372557385e-05,-0.148807918191351,0,12,0
29,0.029,1,0,1,0,0,-9.80923685795107e-05,-5.88554211477064e-07,-0.000126752570387532,0.0496960719440497,0,12,0
30,0.03,1,0,1,0,0,-0.0017807063459729,-1.06842380758374e-05,-2.14907093955899e-05,-0.148700257474994,0,12,0
31,0.031,1,0,1,0,0,-6.4511273536885e-05,-3.8706764122131e-07,-8.59044829528827e-05,0.00966822526679347,0,12,0
32,0.032,1,0,1,0,0,-0.00144096950929851,-8.64581705579107e-06,-0.00012181785016797,-0.00923626582353992,0,12,0
33,0.033,1,0,1,0,0,-0.000115705954565842,-6.94235727395051e-07,0.000175368408419362,0.00399927140222524,0,12,0
34,0.034,1,0,1,0,0,-0.000615503313459387,-3.69301988075632e-06,3.33029064149002e-05,0.068306249374026,0,12,0
35,0.035,1,0,1,0,0,0.00195707182476279,1.17424309485768e-05,-9.71055836311591e-05,0.0442933623660562,0,12,0
36,0.036,1,0,1,0,0,0.00310999360541392,1.86599616324835e-05,7.42178814270112e-05,-0.0723685660058829,0,12,0
37,0.037,1,0,1,0,0,-0.000709500480232855,-4.25700288139713e-06,0.000128416058942334,-0.148741605433546,0,12,0
38,0.038,1,0,1,0,0,0.000253686420014094,1.52211852008456e-06,2.32982506566119e-05,0.116323302493459,0,12,0
39,0.039,1,0,1,0,0,-0.000638898269181318,-3.83338961508791e-06,-8.26228191484984e-05,-0.0155704281012014,0,12,0
40,0.04,1,0,1,0,0,-0.000306449395024469,-1.83869637014681e-06,9.09167531243194e-05,0.0762424516968424,0,12,0
41,0.041,1,0,1,0,0,-0.00071226320716466,-4.27357924298796e-06,-2.08031014409751e-05,0.0119640460933107,0,12,0
42,0.042,1,0,1,0,0,0.000731432086490733,4.3885925189444e-06,2.62669857048011e-05,0.0485706968473525,0,12,0
43,0.043,1,0,1,0,0,-0.00135400690224369,-8.12404141346212e-06,8.82056641491252e-05,-0.0841287060303355,0,12,0
44,0.044,1,0,1,0,0,-0.000232539149791437,-1.39523489874862e-06,-5.60957599147303e-05,0.000598054966447879,0,12,0
45,0.045,1,0,1,0,0,0.00122917550300539,7.37505301803237e-06,5.07215607936764e-05,0.10926169468776,0,12,0
46,0.046,1,0,1,0,0,-0.00115555369641377,-6.93332217848264e-06,2.61990191595314e-06,-0.0154578890359571,0,12,0
47,0.047,1,0,1,0,0,0.0034872475644509,2.09234853867054e-05,4.82226200952167e-05,0.0505623273909653,0,12,0
48,0.048,1,0,1,0,0,-0.00161865093679443,-9.71190562076658e-06,-4.6255386412598e-05,0.0505071736336386,0,12,0
49,0.049,1,0,1,0,0,0.00114784691543221,6.88708149259328e-06,9.69149987203428e-05,0.107351878644107,0,12,0
50,0.05,1,0,1,0,0,-0.000480947187459157,-2.88568312475494e-06,-8.49474076639434e-05,-0.0866404015007654,0,12,0
51,0.051,1,0,1,0,0,-0.000518189405654548,-3.10913643392729e-06,-6.08137769346243e-06,0.13978797858251,0,12,0
52,0.052,1,0,1,0,0,0.000983816469834492,5.90289881900695e-06,1.18120995813406e-05,0.037146396436603,0,12,0
53,0.053,1,0,1,0,0,0.000102463753705306,6.14782522231837e-07,-0.000135182864259228,-0.110888034532978,0,12,0
54,0.054,1,0,1,0,0,-0.000467903643993575,-2.80742186396145e-06,5.81904329767825e-05,0.0961791682368627,0,12,0
55,0.055,1,0,1,0,0,-0.00368157928225397,-2.20894756935238e-05,1.19431672734177e-05,-0.0191578754073857,0,12,0
56,0.056,1,0,1,0,0,0.00177037692623307,1.06222615573984e-05,-0.000156152835397054,-0.0283063313599124,0,12,0
57,0.057,1,0,1,0,0,0.000183696449366279,1.10217869619768e-06,4.79882580089616e-05,-0.0382666922939672,0,12,0
58,0.058,1,0,1,0,0,0.00156781834678248,9.4069100806949e-06,3.46655080609879e-05,0.000819105206853622,0,12,0
59,0.059,1,0,1,0,0,0.00277253229435888,1.66351937661533e-05,8.1183065438738e-05,-0.138011553475602,0,12,0
60,0.06,1,0,1,0,0,0.00209044099706172,1.25426459823703e-05,7.01527854641518e-05,0.0882720269204943,0,12,0
61,0.061,1,0,1,0,0,-0.00161047990792214,-9.66287944753286e-06,1.26589123560426e-06,0.0827817008073427,0,12,0
62,0.062,1,0,1,0,0,-0.00138750259216792,-8.32501555300752e-06,0.000126483557471652,-0.0767524396900198,0,12,0
63,0.063,1,0,1,0,0,0.000606904895045322,3.64142937027193e-06,-7.81495603205479e-05,0.0612715384646748,0,12,0
64,0.064,1,0,1,0,0,-0.00252252552729309,-1.51351531637586e-05,-2.25910990532005e-05,-0.169064738721328,0,12,0
65,0.065,1,0,1,0,0,0.00162418290636409,9.74509743818453e-06,-6.20397022293837e-05,-0.0863085547456237,0,12,0
66,0.066,1,0,1,0,0,0.00257752283321575,1.54651369992945e-05,-7.77631231182877e-05,0.0379612120763914,0,12,0
67,0.067,1,0,1,0,0,0.00255069848255235,1.53041908953141e-05,0.000146551277812844,-0.0680776431832496,0,12,0
68,0.068,1,0,1,0,0,-0.000203490653238897,-1.22094391943338e-06,1.73300456771533e-06,-0.0338231124485442,0,12,0
69,0.069,1,0,1,0,0,0.00310348921010831,1.86209352606498e-05,3.29901417952101e-06,-0.134603264204983,0,12,0
70,0.07,1,0,1,0,0,-0.0023562790025687,-1.41376740154122e-05,-3.09285205927253e-05,-0.0569973568838374,0,12,0
71,0.071,1,0,1,0,0,-0.000420136946717214,-2.52082168030329e-06,-6.07033382880834e-05,-0.154490417086082,0,12,0
72,0.072,1,0,1,0,0,-0.000110871183821692,-6.65227102930151e-07,-7.64742406875477e-05,0.0190367442599498,0,12,0
73,0.073,1,0,1,0,0,0.00208551397666109,1.25130838599666e-05,7.31476577257818e-05,-0.125609860337588,0,12,0
74,0.074,1,0,1,0,0,-7.79240449148527e-05,-4.67544269489116e-07,3.53702822230741e-05,-0.0184077530270719,0,12,0
75,0.075,1,0,1,0,0,-0.00272804876542932,-1.63682925925759e-05,-2.92949433341538e-06,0.14686711772947,0,12,0
76,0.076,1,0,1,0,0,-0.000965146907389466,-5.7908814443368e-06,2.09391483556647e-05,0.0206657242668001,0,12,0
77,0.077,1,0,1,0,0,-0.000955788355251995,-5.73473013151197e-06,4.47550941812436e-05,-0.0360002632661689,0,12,0
78,0.078,1,0,1,0,0,-0.0016956596494646,-1.01739578967876e-05,-5.05928837831387e-05,-0.038654598738846,0,12,0
79,0.079,1,0,1,0,0,-0.00377699417015058,-2.26619650209035e-05,-5.15548872539976e-05,0.0791330259990318,0,12,0
80,0.08,1,0,1,0,0,-0.000380660428977593,-2.28396257386556e-06,-8.54936102560567e-06,-0.0519795938795186,0,12,0
81,0.081,1,0,1,0,0,-0.00032709689820331,-1.96258138921986e-06,-1.54131715074395e-05,-8.35422645847914e-05,0,12,0
82,0.082,1,0,1,0,0,0.00261795632033744,1.57077379220246e-05,0.000124834460377028,-0.00706031691657121,0,12,0
83,0.083,1,0,1,0,0,0.00174038066463643,1.04422839878186e-05,0.000164370366586082,0.057959702228471,0,12,0
84,0.084,1,0,1,0,0,7.1054543384039e-05,4.26327260304234e-07,0.000112683680033886,0.0266769405968198,0,12,0
85,0.085,1,0,1,0,0,-0.000339495662903792,-2.03697397742275e-06,7.45963997370028e-05,0.156821799881998,0,12,0
86,0.086,1,0,1,0,0,0.00170861276249749,1.02516765749849e-05,1.34632038974991e-05,0.212170380845199,0,12,0
87,0.087,1,0,1,0,0,0.00154165325037314,9.24991950223884e-06,-5.09225009447622e-05,0.0900296120201737,0,12,0
88,0.088,1,0,1,0,0,0.00168692947826461,1.01215768695877e-05,9.89743585169568e-05,-0.00567238148869654,0,12,0
89,0.089,1,0,1,0,0,0.00136166197100126,8.16997182600756e-06,0.000121124884323039,0.00781482141178062,0,12,0
90,0.09,1,0,1,0,0,0.00188563913020434,1.1313834781226e-05,1.40001852243127e-05,0.0310720414879802,0,12,0
91,0.091,1,0,1,0,0,-0.00242649666643172,-1.45589799985903e-05,4.48656476301777e-05,0.0259717933446272,0,12,0
92,0.092,1,0,1,0,0,0.00201483321085359,1.20889992651216e-05,0.000107032495995556,0.0530983372976873,0,12,0
93,0.093,1,0,1,0,0,-0.000952689181386715,-5.71613508832029e-06,-2.58362387909196e-05,0.0910236111836736,0,12,0
94,0.094,1,0,1,0,0,-9.16158579554389e-05,-5.49695147732634e-07,3.99290425177965e-05,-0.0574655005526811,0,12,0
95,0.095,1,0,1,0,0,0.00162345880378496,9.74075282270977e-06,0.000111195318415205,0.125056246533743,0,12,0
96,0.096,1,0,1,0,0,0.00198542087424973,1.19125252454984e-05,-9.06454773906427e-05,0.0596042748142185,0,12,0
97,0.097,1,0,1,0,0,-0.00299786714854625,-1.79872028912775e-05,-5.24154510612423e-05,-0.0443042980410648,0,12,0
98,0.098,1,0,1,0,0,0.00114253509201254,6.85521055207524e-06,0.00019370586792991,0.0363950662304195,0,12,0
99,0.099,1,0,1,0,0,-0.0026337095412624,-1.58022572475744e-05,4.51921921738783e-05,-0.0739595435512891,0,12,0
100,0.1,1,0,2,1,0.25,0.119145377519555,0.000714872265117327,0.00050554160323682,0.38471386001981,0.492,12,0
101,0.101,1,0,2,1,0.25,0.181870512368618,0.00109122307421171,0.00200294704179445,1.44095710576171,0.7296,12,0
102,0.102,1,0,2,1,0.25,0.209201588343481,0.00125520953006088,0.0043356635929073,2.41404396282322,0.851368759044741,12,0
103,0.103,1,0,2,1,0.25,0.225798089560262,0.00135478853736157,0.0077081831552503,3.30538012047644,0.915410453341506,12,0
104,0.104,1,0,2,1,0.25,0.233001180642405,0.00139800708385443,0.0120009954014965,4.30480764545254,0.950637410039341,12,0
105,0.105,1,0,2,1,0.25,0.23887706101114,0.00143326236606684,0.0173888888180822,5.31886573557161,0.971454266974701,12,0
106,0.106,1,0,2,1,0.25,0.23975327731643,0.00143851966389858,0.0238602426210106,6.63952647582627,0.985060801571949,12,0
107,0.107,1,0,2,1,0.25,0.237182542565164,0.00142309525539098,0.0313698863633812,7.47790804811659,0.995056846069964,12,0
108,0.108,1,0,2,1,0.25,0.239099282749563,0.00143459569649738,0.0398001871446997,8.6011531492734,1.00324232424319,12,0
109,0.109,1,0,2,1,0.25,0.239362676506123,0.00143617605903674,0.0493507846808137,9.68562937108837,1.01051720682779,12,0
110,0.11,1,0,2,1,0.25,0.23805648092783,0.00142833888556698,0.0601341920485878,10.6771794621744,1.01733148804557,12,0
111,0.111,1,0,2,1,0.25,0.240306137682743,0.00144183682609646,0.0720573058327687,11.881327374633,1.02391017384675,12,0
112,0.112,1,0,2,1,0.25,0.240563159341016,0.0014433789560461,0.0847615465791364,12.7668710671329,1.03036577603096,12,0
113,0.113,1,0,2,1,0.25,0.242212831345185,0.00145327698807111,0.0986615063865761,13.9121747431524,1.03675455930789,12,0
114,0.114,1,0,2,1,0.25,0.241707686260062,0.00145024611756037,0.113594750484618,14.8513972315567,1.04310466482753,12,0
115,0.115,1,0,2,1,0.25,0.236740545081167,0.001420443270487,0.129388832316694,15.9549306012031,1.0494301719454,12,0
116,0.116,1,0,2,1,0.25,0.238185497757602,0.00142911298654561,0.146444867787831,17.0836032809506,1.05573812910511,12,0
117,0.117,1,0,2,1,0.25,0.240920859650819,0.00144552515790491,0.164467542897531,17.9525433920766,1.06203206927975,12,0
118,0.118,1,0,2,1,0.25,0.236830265693305,0.00142098159415983,0.183767774160888,19.145542527751,1.06831376769252,12,0
119,0.119,1,0,2,1,0.25,0.238214386754375,0.00142928632052625,0.203886690454014,20.2820414625734,1.07458412067715,12,0
