axis,t_s,v_V,i_A
d,0,1.49772762079692,-0.00228785145446566
d,5e-05,1.50622014421362,0.289195683792027
d,0.0001,1.50528044914217,0.550330033519821
d,0.00015,1.49969678691681,0.793935801659635
d,0.0002,1.50015489153896,1.01794779566499
d,0.00025,1.50211060779351,1.22391680039263
d,0.0003,1.50414361484353,1.41445522956433
d,0.00035,1.50061107152103,1.58813656624345
d,0.0004,1.49887617149525,1.75377589521161
d,0.00045,1.50013121409498,1.89543277026443
d,0.0005,1.50005015269314,2.02697939499283
d,0.00055,1.49761848623451,2.15414527815794
d,0.0006,1.49314853700221,2.26815187929588
d,0.00065,1.50023911343475,2.3709763095487
d,0.0007,1.50147966356453,2.46786682523877
d,0.00075,1.49950640630493,2.55837614630518
d,0.0008,1.49889793560573,2.63670587466327
d,0.00085,1.49938874733425,2.71523735119743
d,0.0009,1.50191292701236,2.78360588903427
d,0.00095,1.50054937809972,2.84866696211178
d,0.001,1.50179738054481,2.90489266605729
d,0.00105,1.500766094569,2.96237236048609
d,0.0011,1.50015311638872,3.01067248947208
d,0.00115,1.49803958426727,3.05491105087429
d,0.0012,1.50045751327282,3.09616269523303
d,0.00125,1.49949045318786,3.13584780879851
d,0.0013,1.50228912800669,3.16816042669649
d,0.00135,1.50016905266273,3.20428845713363
d,0.0014,1.49962042477464,3.23002200955506
d,0.00145,1.50164195039561,3.26065383593259
d,0.0015,1.50148311566257,3.28028174030384
d,0.00155,1.50082160801945,3.30872178742643
d,0.0016,1.49586775820965,3.32866012302467
d,0.00165,1.50632904623413,3.34861596550174
d,0.0017,1.49850764954403,3.3652626689088
d,0.00175,1.49908377067954,3.38100000092002
d,0.0018,1.50054095810815,3.39804668062487
d,0.00185,1.50180115928558,3.40957462382162
d,0.0019,1.4984254577808,3.42599690192326
d,0.00195,1.50223023694601,3.43735033430756
d,0.002,1.49751066227575,3.4452688909209
d,0.00205,1.49788989955165,3.45506374098458
d,0.0021,1.49977809378818,3.46506914556404
d,0.00215,1.50615273035732,3.476910078781
d,0.0022,1.49918936980605,3.48384260532715
d,0.00225,1.49789035436988,3.48734759376918
d,0.0023,1.49891754296268,3.49589551856675
d,0.00235,1.50118302503395,3.50596780390294
d,0.0024,1.4999182188592,3.50781825892479
d,0.00245,1.50138280806908,3.51566994127128
d,0.0025,1.50521462997689,3.51738364920338
d,0.00255,1.49247167808414,3.52272004565703
d,0.0026,1.49579325348724,3.5297850638881
d,0.00265,1.49965021070811,3.53294950844658
d,0.0027,1.49992025823172,3.53469684231085
d,0.00275,1.50249636647132,3.53766627588833
d,0.0028,1.50029249228541,3.54059191146405
d,0.00285,1.50568668957523,3.54192698140589
d,0.0029,1.50181663110074,3.54384402402523
d,0.00295,1.50092381052172,3.54299350511231
d,0.003,1.49551523939581,3.55142032158658
d,0.00305,1.49844526826224,3.54955183607008
d,0.0031,1.50011620655327,3.55273076330746
d,0.00315,1.50268204742592,3.55634122850881
