point_id,bus_voltage_V,bus_current_A,input_power_W,phase_current_peak_A,phase_current_rms_A,speed_rpm,mass_g,torque_mNm,output_power_W,efficiency_pct
1,12,0.27,3.24,0.3,0.212132034355964,15000,10,1,1.5707963267949,48.4813681109536
2,12,0.42,5.04,0.47,0.332340187157677,15000,20,2,3.14159265358979,62.3331875712261
3,12,0.59,7.08,0.7,0.494974746830583,15000,30,3,4.71238898038469,66.5591663896143
4,12,0.73,8.76,0.85,0.601040764008565,14400,40,4,6.0318578948924,68.8568252841599
5,12,0.91,10.92,1,0.707106781186547,13700,50,5,7.17330322569669,65.6895899789075
6,12,1.05,12.6,1.25,0.883883476483184,13000,60,6,8.16814089933346,64.8265150740751
7,12,1.28,15.36,1.54,1.08894444302728,12000,75,7.5,9.42477796076938,61.3592315154256
8,12,1.48,17.76,1.84,1.30107647738325,11000,90,9,10.3672557568463,58.3741878200806
9,12,1.78,21.36,2.2,1.5556349186104,9300,110,11,10.7128309487412,50.1537029435449
10,12,2.08,24.96,2.6,1.83847763108502,7800,130,13,10.6185831691335,42.5424005173618
11,12,2.35,28.2,2.95,2.08596500450032,6300,150,15,9.89601685880785,35.0922583645668
