case_name,speed_target_rpm,iq_target_a,load_torque_nm,mean_speed_rpm,mean_id_a,mean_iq_ref_a,mean_iq_a,mean_phase_current_rms_a,mean_p_elec_w,mean_p_dc_w,mean_ibus_a,mean_abs_ibus_a,mean_p_mech_shaft_w,mean_p_cu_w,mean_p_fric_w,mean_p_drive_loss_w,mean_vd_ref_v,mean_vq_ref_v,mean_v_dq_mag_v,mean_modulation_ratio,max_modulation_ratio,motor_efficiency_pct,efficiency_pct,speed_error_pct,iq_error_a,is_valid,inverter_vdc_v,drive_efficiency
case001_500rpm_0.5A,500,0.5,0.0458731375648845,499.939344141719,5.62611187283723e-05,0.496237582895641,0.498209776012096,1.43717459812957,2.85968084256879,3.30358972094514,0.0485822017786051,0.128459403200217,2.40162048613106,0.330578605622698,0.274089165250898,0.443908878376353,-0.136668215566642,3.59082612398084,3.59496514646774,0.0916241499252662,0.147170541476645,83.9821161292159,72.6972986658879,-0.0121311716562357,-0.00179022398790391,1,68,0.95
case002_500rpm_1A,500,1,0.096982262885752,499.939342911171,5.6189919797239e-05,0.996259240274395,0.998231109927416,1.56247307964815,5.59498339877346,6.09443774633896,0.0896240845049845,0.145429766929153,5.0773633792769,0.390733606046257,0.274089163901615,0.499454347565496,-0.156510842150639,3.61686528670529,3.62181618864431,0.0923084970089792,0.147846196452132,90.7484976700729,83.3114323356074,-0.0121314177658267,-0.00176889007258385,1,68,0.95
case003_500rpm_2A,500,2,0.199200513527487,499.939340715391,5.60474431378157e-05,1.99630255502048,1.99827377765203,1.98528105541365,11.185625778971,11.8653028592391,0.174489747929987,0.199253349872923,10.4288491315867,0.630811606080941,0.274089161493965,0.679677080268098,-0.196196088346092,3.66894361370696,3.67581416700981,0.0936847325672803,0.149202242117851,93.2343825697529,87.8936615045283,-0.0121318569218355,-0.00172622234796771,1,68,0.95
case004_500rpm_3A,500,3,0.301418764169222,499.939338653678,5.59048612703955e-05,2.99634586963417,2.99831644511757,2.53773915257119,16.9363179937208,17.8648336908685,0.262718142512772,0.272826833907663,15.7803348411199,1.03074120703917,0.274089159233319,0.928515697147699,-0.235881335890556,3.72102194213554,3.73019121201993,0.0950706293205202,0.150564459816303,93.1745308925502,88.3318317661471,-0.012132269264306,-0.00168355488243055,1,68,0.95
case005_500rpm_4A,500,4,0.403637014810957,499.9393364608,5.57621746586701e-05,3.99638918421025,3.99835911242077,3.15252334178222,22.8470604064275,24.0642094407515,0.353885432952228,0.357879892732652,21.1318205009707,1.5906414674481,0.27408915682885,1.21714903432401,-0.275566584502039,3.77310026912493,3.78492972077626,0.0964657386271857,0.151932683548809,92.4925138072718,87.8143142537025,-0.0121327078399645,-0.0016408875792262,1,68,0.95
case006_500rpm_5A,500,5,0.505855265452692,499.939334139528,5.56193821529608e-05,4.99643249857208,4.9984017793804,3.79954625854111,28.9178520894542,30.4443763731364,0.447711417252005,0.448945260924429,26.4833061070736,2.31057011091554,0.2740891542836,1.52652428368218,-0.315251829719285,3.82517859548463,3.84001310360969,0.0978696376697343,0.153306752489048,91.5811659356664,86.9891561662668,-0.0121331720943256,-0.00159822061959947,1,68,0.95
case007_500rpm_6A,500,6,0.608073516094427,499.93933195735,5.54764822812875e-05,5.99647581259449,5.99844444586537,4.46482449793479,35.1486935458369,37.0001696430058,0.544120141808909,0.54454072529843,31.8347916723387,3.19054198046725,0.274089151890864,1.85147609716897,-0.354937075947721,3.87725692290017,3.89542573194982,0.0992819281259511,0.154686510842885,90.5717637294923,86.0395830059564,-0.0121336085300322,-0.00155555413463482,1,68,0.95
case008_500rpm_7A,500,7,0.710291766736162,499.939329917332,5.53334737109692e-05,6.99651912618309,6.99848711177608,5.14127890146876,41.5395851736406,43.7261402937457,0.643031474908025,0.643102576008169,37.1862772014606,4.23056143626719,0.274089149654005,2.18655512010515,-0.394622320469931,3.92933525115586,3.95115285610048,0.100702234073312,0.156071807693534,89.5200976274014,85.0435848022458,-0.0121340165336494,-0.00151288822392281,1,68,0.95
case009_500rpm_8A,500,8,0.812510017377897,499.939327750472,5.51903043333518e-05,7.99656243370834,7.99852977127076,5.82501747338864,48.0905269969165,50.6216073651753,0.744435402429048,0.744435402429048,42.5377626761163,5.43062911187354,0.274089147278066,2.53108036825877,-0.434307565824053,3.98141357836667,4.00718055915475,0.102130200814424,0.157462496808327,88.4535174231792,84.0308415520202,-0.0121344499055472,-0.00147022872923674,1,68,0.95
case010_500rpm_9A,500,9,0.914728268019631,499.939325774405,5.5047060462124e-05,8.99660574448815,8.99857243401781,6.51335528681143,54.8010446695302,57.6853101784529,0.848313384977248,0.848313384977248,47.8892481226587,6.78992872461212,0.274089145111328,2.88426550892267,-0.473993012692582,4.0334919288674,4.06348901498576,0.1035653230448,0.158858438108653,87.3874730152461,83.0180993644837,-0.0121348451190667,-0.00142756598218519,1,68,0.95
case011_500rpm_10A,500,10,1.01694651866137,499.935258532864,5.57853735887071e-05,9.99676953914876,9.99873117240985,7.20335423150274,61.6689672421073,64.9147023601129,0.954627975884014,0.954627975884014,53.2403005989279,8.30472436513056,0.274084685441265,3.24573511800557,-0.513679193829238,4.08554964686739,4.12001499899315,0.105005989371831,0.160263410670464,86.3324018219907,82.0157817308913,-0.0129482934272091,-0.0012688275901489,1,68,0.95
