case_name,speed_target_rpm,iq_target_a,load_torque_nm,mean_speed_rpm,mean_id_a,mean_iq_ref_a,mean_iq_a,mean_phase_current_rms_a,mean_p_elec_w,mean_p_dc_w,mean_ibus_a,mean_abs_ibus_a,mean_p_mech_shaft_w,mean_p_cu_w,mean_p_fric_w,mean_p_drive_loss_w,motor_efficiency_pct,efficiency_pct,speed_error_pct,iq_error_a,is_valid,drive_efficiency
case001_2500rpm_0.5A,2500,0.5,0.0734068351576563,2180.53306177071,0.000594860894463197,15,0.48443971183159,1.4428613631204,19.3482878923811,21.1469813628861,0.440562111726795,0.74153526653136,16.7620755715182,1.33248739688449,5.21413879939926,1.79869347050501,86.6333789571051,79.2646254511596,-12.7786775291717,-0.0155602881684098,0,0.95
case002_2500rpm_1A,2500,1,0.172993609095228,2172.35902917279,-0.00129930730397325,15,0.985666080020281,1.56623622334732,42.2235169182837,44.6530233766354,0.930271320346571,1.01019120284399,39.3541268031513,1.57010403548354,5.17512021560518,2.42950645835173,93.2042844259383,88.1331740321603,-13.1056388330883,-0.0143339199797187,0,0.95
case003_2500rpm_2A,2500,2,0.37216715697037,2155.35741386535,-0.00356887353136744,15,1.9847552553773,1.98539715180112,87.7844235992229,92.4046564202346,1.92509700875489,1.92509700875489,84.001290963163,2.52295027433572,5.09443272319603,4.62023282101171,95.6904283459994,90.9059069286995,-13.7857034453861,-0.0152447446227009,0,0.95
case004_2500rpm_3A,2500,3,0.571340704845513,2137.52965970404,0.00261576687255482,15,2.98462348407732,2.53557471902345,133.206784685954,140.217668090478,2.92120141855163,2.92120141855163,127.889807533693,4.11497051663833,5.01050540673937,7.01088340452381,96.0084787236649,91.2080547874818,-14.4988136118382,-0.0153765159226844,0,0.95
case005_2500rpm_4A,2500,4,0.770514252720655,2118.91292812718,0.00108109629756651,15,3.98439125871764,3.14871624225605,178.500052389551,187.894791989001,3.91447483310419,3.91447483310419,170.970981660867,6.34572066421683,4.92360787260155,9.39473959945016,95.7820344431873,90.9929327210279,-15.2434828749128,-0.0156087412823624,0,0.95
case006_2500rpm_5A,2500,5,0.969687800595798,2099.55708022835,-8.46381982653759e-05,15,4.98373059292218,3.79409792619172,223.565490273352,235.332095024581,4.90275197967878,4.90275197967878,213.200508447967,9.21363436601433,4.83406636496739,11.766604751229,95.3637827498726,90.5955936123789,-16.0177167908661,-0.016269407077818,0,0.95
case007_2500rpm_6A,2500,6,1.16886134847094,2079.49676373741,0.000425316379468235,15,5.98335126200239,4.45802869995408,268.385960353582,282.511537214297,5.88565702529786,5.88565702529786,254.536380730949,12.7203664303476,4.74213303668188,14.1255768607149,94.8396780500785,90.0976941475745,-16.8201294505035,-0.0166487379976124,0,0.95
case008_2500rpm_7A,2500,7,1.36803489634608,2058.77738630688,0.00118409451616782,15,6.98300201680585,5.13320143039708,312.906499094715,329.375262204963,6.86198462927006,6.86198462927006,294.941023462251,16.8651619198659,4.64810590331421,16.4687631102477,94.258516302972,89.5455904878235,-17.6489045477247,-0.0169979831941491,0,0.95
case009_2500rpm_8A,2500,8,1.56720844422123,2037.43801362449,0.00216899475594883,15,7.98374535641139,5.8165250900113,357.143297589334,375.940313251931,7.83208985941522,7.83208985941522,334.379609108962,21.6541486367539,4.55224938067095,18.7970156625968,93.6261750860163,88.9448663317155,-18.5024794550203,-0.01625464358861,0,0.95
case010_2500rpm_9A,2500,9,1.76638199209637,2015.55122545974,0.000142736420341138,15,8.97933207575207,6.50117563910181,400.823409334771,421.919378247127,8.78998704681515,8.78998704681515,372.826768643957,27.0518954661231,4.45497136094421,21.0959689123564,93.0152181637099,88.3644572555244,-19.3779509816104,-0.0206679242479346,0,0.95
