case_name,speed_target_rpm,iq_target_a,load_torque_nm,mean_speed_rpm,mean_id_a,mean_iq_ref_a,mean_iq_a,mean_phase_current_rms_a,mean_p_elec_w,mean_p_dc_w,mean_ibus_a,mean_abs_ibus_a,mean_p_mech_shaft_w,mean_p_cu_w,mean_p_fric_w,mean_p_drive_loss_w,mean_vd_ref_v,mean_vq_ref_v,mean_v_dq_mag_v,mean_modulation_ratio,max_modulation_ratio,motor_efficiency_pct,efficiency_pct,speed_error_pct,iq_error_a,is_valid,drive_efficiency
case001_2500rpm_0.5A,2500,0.5,0.0734068351576563,2499.9340977716,0.000268092695167149,0.500774061881612,0.502243233209693,0.870715612096184,26.31034832035,28.9005217146271,0.425007672273927,0.75317960081644,19.2173579045092,0.485251140658599,6.85353060056179,2.59017339427708,-6.03087170477148,34.3236124518687,34.8642384813056,0.888577797973943,1.00344347212719,73.0410622866796,66.494847720285,-0.00263608913582358,0.00224323320969266,1,0.95
case002_2500rpm_1A,2500,1,0.172993609095228,2499.93408387122,0.000268285439018081,1.00131965694762,1.00278715255524,1.0644568347554,52.6203315293991,55.9828237408707,0.823276819718687,0.984719798061579,45.2884268277012,0.725220399374439,6.85353052434643,3.36249221147168,-6.39069580554957,34.3722795529866,34.9761819691572,0.891430879018177,1.00605254399541,86.0664034440727,80.8970034047032,-0.0026366451510688,0.00278715255523898,1,0.95
case003_2500rpm_2A,2500,2,0.37216715697037,2499.93414388666,0.00026888063473075,2.00241129683666,2.00387525001458,1.62258081379173,105.72025086673,111.40490329232,1.63830740135764,1.67109379590515,97.4305672267906,1.68510347668728,6.85353085340924,5.68465242558955,-7.1103590491373,34.4696867105758,35.2103147217526,0.897398173150998,1.01150349343131,92.1588498211289,87.4562648029402,-0.00263424453345156,0.00387525001457822,1,0.95
case004_2500rpm_3A,2500,3,0.571340704845513,2499.93426787418,0.000269541953269634,3.00350133571631,3.0049615846655,2.2654914540835,159.460045590103,167.869693928252,2.46867196953312,2.47330408405798,149.572713956904,3.28502560083266,6.85353153322899,8.40964833814922,-7.83001844743516,34.5671995838917,35.4578870465509,0.903707998943596,1.01726065860302,93.7994927841583,89.100486488545,-0.00262928503269795,0.00496158466550067,1,0.95
case005_2500rpm_4A,2500,4,0.770514252720655,2499.93440542259,0.000270039526813862,4.00458344684012,4.00603977458807,2.9380078390989,213.839275767215,225.095468481134,3.31022747766373,3.31063421231508,201.714866953336,5.52484123457137,6.85353228740271,11.2561927139189,-8.54979509432171,34.6648690397243,35.7186959704391,0.910355183261269,1.02331887898228,94.3301300612907,89.6130287803827,-0.0026237830964239,0.00603977458807492,1,0.95
case006_2500rpm_5A,2500,5,0.969687800595798,2499.93451094132,0.000270472600400269,5.0056661240225,5.0071186024368,3.62374239817949,268.858767085079,283.009228510609,4.16190041927366,4.16190041927366,253.857022435104,8.40482231520113,6.85353286595873,14.1504614255304,-9.26957390932792,34.7629243699168,35.992655310633,0.917337529580818,1.02967280829888,94.4202137008137,89.6992030157731,-0.00261956234719287,0.00711860243680462,1,0.95
case007_2500rpm_6A,2500,6,1.16886134847094,2499.9338142317,0.000270121757417419,6.00677712392078,6.00822796163574,4.31645058015357,324.519999735973,341.599999722077,5.0235294076776,5.0235294076776,305.99908412351,11.9252487782617,6.85352904592135,17.079999986104,-9.98929239193041,34.8604675273547,36.2785928046364,0.924625160684993,1.03631999074036,94.2928276754805,89.5781862917064,-0.00264743073211044,0.00822796163574058,1,0.95
case008_2500rpm_7A,2500,7,1.36803489634608,2499.93538118271,0.000272151861580421,7.00786155893733,7.00931190782243,5.01289824143461,380.818927138559,400.862028566904,5.89502983186624,5.89502983186624,358.141441041462,16.083911675985,6.85353763746694,20.0431014283452,-10.7093889583055,34.9589191800696,36.5776526904955,0.932247239537554,1.04328294742455,94.0450737920266,89.3428201024253,-0.0025847526915121,0.00931190782242552,1,0.95
case009_2500rpm_8A,2500,8,1.56720844422123,2499.93445793259,0.000266885457030957,8.00888666169428,8.01034774301414,5.71208501752321,437.755932777675,460.795718713343,6.77640762813739,6.77640762813739,410.283454638434,20.8834971541067,6.85353257531347,23.0397859356676,-11.4301104280367,35.060149398218,36.8914885232305,0.940245909961018,1.05045058011197,93.7242476726879,89.0380352890534,-0.00262168269633184,0.0103477430141368,1,0.95
case010_2500rpm_9A,2500,9,1.76638199209637,2499.93369456025,0.000290859203466757,9.01006660723803,9.01145937613533,6.41257131839662,495.334614638163,521.404857513855,7.66771849285082,7.66771849285082,462.425459295608,26.3195414382004,6.85352838976659,26.0702428756923,-12.1519470715422,35.1640509742576,37.2196870978091,0.94861064068226,1.05944384604048,93.3561769418043,88.6883680947141,-0.00265221759009512,0.0114593761353312,1,0.95
case011_2500rpm_10A,2500,10,1.96555553997151,2499.93977055015,0.000226610277211577,10.0111138629878,10.0128037688053,7.11479899869713,553.579791425335,582.715569921406,8.56934661649126,8.56934661649126,514.568839871844,32.399564485031,6.85356170426609,29.1357784960705,-12.8734689190573,35.2658129664619,37.5571160105112,0.957210623165237,1.06591634859215,92.9529668247015,88.3053184834664,-0.00240917799395039,0.0128037688053411,1,0.95
case012_2500rpm_12A,2500,12,2.3639026357218,2499.93504497179,0.000379925480816523,12.0136942786426,12.0153815799024,8.52105187721247,671.974647643225,707.34173436129,10.4020843288425,10.4020843288425,618.852183406573,46.4729584765082,6.85353579403206,35.3670867180648,-14.3289817664222,35.4997910022597,38.2974289257206,0.97607882877257,1.09842972054249,92.094573147519,87.489844490143,-0.00259820112832189,0.0153815799024049,1,0.95
case013_2500rpm_14A,2500,14,2.76224973147208,2499.9254179858,0.000801919082429842,14.0167222891635,14.0176955272096,9.92793629963263,792.897584620968,834.629036443125,12.2739564182812,12.2739564182812,723.133714896554,63.0858364644789,6.85348300964779,41.7314518221561,-15.8153913929013,35.801381792054,39.1531047674275,0.997887265965631,1.13096898004034,91.2014021637153,86.6413320555295,-0.00298328056787085,0.0176955272095611,1,0.95
case014_2500rpm_16A,2500,16,3.16059682722237,2499.91581964748,0.00169952503615412,16.0195487332608,16.0188358043429,11.3338036804371,916.289139025989,964.514883185252,14.1840423997831,14.1840423997831,827.414452692462,82.2176905099747,6.85343038253991,48.2257441592632,-17.379139197773,36.2673761230786,40.228808868926,1.0253035189348,1.16570671752526,90.3005849847789,85.7855557355399,-0.00336721410082145,0.0188358043428956,1,0.95
case015_2500rpm_18A,2500,18,3.55894392297265,2499.93168568427,0.00262544265960672,18.0190460470897,18.0150196844635,12.7359296995476,1041.77154461571,1096.60162591127,16.1264944986952,16.1264944986952,931.703880064814,103.818609594829,6.85351737516806,54.8300812955636,-19.1455474921693,37.1497059070474,41.8031548053174,1.06542855554382,1.21714910925129,89.4345679607235,84.9628395626873,-0.0027325726291618,0.0150196844634998,1,0.95
case016_2500rpm_20A,2500,20,3.95729101872294,2499.93334587151,0.000931582245904429,20.0217936795449,20.021327774011,14.1516563689977,1170.23816189031,1231.82964409506,18.1151418249274,18.1151418249274,1035.98874413754,128.182415380062,6.85352647791748,61.5914822047534,-21.8365191816044,39.7872367011499,45.3958421357064,1.15699465123118,1.31167336591356,88.528025992939,84.101624693292,-0.00266616513967038,0.02132777401102,1,0.95
