index_1based,theta_deg,theta_rad,iq_ff_A,is_active_point
1,0,0,0.00117546081558423,1
2,1,0.0174532925199433,0.0111487735190723,1
3,2,0.0349065850398866,0.0211111166677522,1
4,3,0.0523598775598299,0.0280081087114253,1
5,4,0.0698131700797732,0.0374142374899176,1
6,5,0.0872664625997165,0.0471946263121688,1
7,6,0.10471975511966,0.0569760642307105,1
8,7,0.122173047639603,0.0666975632497707,1
9,8,0.139626340159546,0.0763413382773057,1
10,9,0.15707963267949,0.0858809550752734,1
11,10,0.174532925199433,0.0953142784192166,1
12,11,0.191986217719376,0.104640656464144,1
13,12,0.20943951023932,0.113831534753046,1
14,13,0.226892802759263,0.122891571144601,1
15,14,0.244346095279206,0.131812392239642,1
16,15,0.261799387799149,0.14057416083929,1
17,16,0.279252680319093,0.14915533500434,1
18,17,0.296705972839036,0.157553380184829,1
19,18,0.314159265358979,0.165759260332589,1
20,19,0.331612557878923,0.173762892412261,1
21,20,0.349065850398866,0.18155469611091,1
22,21,0.366519142918809,0.189116221109593,1
23,22,0.383972435438752,0.196455021246917,1
24,23,0.401425727958696,0.203555282930864,1
25,24,0.418879020478639,0.210407574277113,1
26,25,0.436332312998582,0.217003402872978,1
27,26,0.453785605518526,0.223343784279837,1
28,27,0.471238898038469,0.229404452568035,1
29,28,0.488692190558412,0.235184100960563,1
30,29,0.506145483078356,0.240676904495844,1
31,30,0.523598775598299,0.245876305834238,1
32,31,0.541052068118242,0.250775997982264,1
33,32,0.558505360638185,0.255378867550801,1
34,33,0.575958653158129,0.259663022902392,1
35,34,0.593411945678072,0.263629492639542,1
36,35,0.610865238198015,0.267274448167968,1
37,36,0.628318530717959,0.270593613107356,1
38,37,0.645771823237902,0.273581044150441,1
39,38,0.663225115757845,0.276235040988962,1
40,39,0.680678408277788,0.278554250721701,1
41,40,0.698131700797732,0.28053204395315,1
42,41,0.715584993317675,0.282167905404744,1
43,42,0.733038285837618,0.283461761948116,1
44,43,0.750491578357562,0.284410109494921,1
45,44,0.767944870877505,0.285011758876114,1
46,45,0.785398163397448,0.285266043158289,1
