Position-scan feedforward table export
mode=single-direction
table_points=180
ff_table_file=validated_scan_ff_table.mat
ff_csv_file=validated_scan_ff_table.csv
harmonic1=1
harmonic2=0
amp1=0.06
amp2=0
phase1_deg=0
phase2_deg=0
load_base_torque=0
std_reduction_pct=96.892188
pp_reduction_pct=96.886375

index_1based,theta_deg,theta_rad,iq_ff_A,is_active_point
1,0.000000,0.000000000,0.001175461,1
2,1.000000,0.017453293,0.011148774,1
3,2.000000,0.034906585,0.021111117,1
4,3.000000,0.052359878,0.028008109,1
5,4.000000,0.069813170,0.037414237,1
6,5.000000,0.087266463,0.047194626,1
7,6.000000,0.104719755,0.056976064,1
8,7.000000,0.122173048,0.066697563,1
9,8.000000,0.139626340,0.076341338,1
10,9.000000,0.157079633,0.085880955,1
11,10.000000,0.174532925,0.095314278,1
12,11.000000,0.191986218,0.104640656,1
13,12.000000,0.209439510,0.113831535,1
14,13.000000,0.226892803,0.122891571,1
15,14.000000,0.244346095,0.131812392,1
16,15.000000,0.261799388,0.140574161,1
17,16.000000,0.279252680,0.149155335,1
18,17.000000,0.296705973,0.157553380,1
19,18.000000,0.314159265,0.165759260,1
20,19.000000,0.331612558,0.173762892,1
21,20.000000,0.349065850,0.181554696,1
22,21.000000,0.366519143,0.189116221,1
23,22.000000,0.383972435,0.196455021,1
24,23.000000,0.401425728,0.203555283,1
25,24.000000,0.418879020,0.210407574,1
26,25.000000,0.436332313,0.217003403,1
27,26.000000,0.453785606,0.223343784,1
28,27.000000,0.471238898,0.229404453,1
29,28.000000,0.488692191,0.235184101,1
30,29.000000,0.506145483,0.240676904,1
31,30.000000,0.523598776,0.245876306,1
32,31.000000,0.541052068,0.250775998,1
33,32.000000,0.558505361,0.255378868,1
34,33.000000,0.575958653,0.259663023,1
35,34.000000,0.593411946,0.263629493,1
36,35.000000,0.610865238,0.267274448,1
37,36.000000,0.628318531,0.270593613,1
38,37.000000,0.645771823,0.273581044,1
39,38.000000,0.663225116,0.276235041,1
40,39.000000,0.680678408,0.278554251,1
41,40.000000,0.698131701,0.280532044,1
42,41.000000,0.715584993,0.282167905,1
43,42.000000,0.733038286,0.283461762,1
44,43.000000,0.750491578,0.284410109,1
45,44.000000,0.767944871,0.285011759,1
46,45.000000,0.785398163,0.285266043,1
47,46.000000,0.802851456,0.285174480,1
48,47.000000,0.820304748,0.284733461,1
49,48.000000,0.837758041,0.283945386,1
50,49.000000,0.855211333,0.282811181,1
51,50.000000,0.872664626,0.281332294,1
52,51.000000,0.890117919,0.279510464,1
53,52.000000,0.907571211,0.277347974,1
54,53.000000,0.925024504,0.274847429,1
55,54.000000,0.942477796,0.272010034,1
56,55.000000,0.959931089,0.268842929,1
57,56.000000,0.977384381,0.265348100,1
58,57.000000,0.994837674,0.261529871,1
59,58.000000,1.012290966,0.257392862,1
60,59.000000,1.029744259,0.252942116,1
61,60.000000,1.047197551,0.248183058,1
62,61.000000,1.064650844,0.243121459,1
63,62.000000,1.082104136,0.237763545,1
64,63.000000,1.099557429,0.232115818,1
65,64.000000,1.117010721,0.226185161,1
66,65.000000,1.134464014,0.219978801,1
67,66.000000,1.151917306,0.213504278,1
68,67.000000,1.169370599,0.206769533,1
69,68.000000,1.186823891,0.199782747,1
70,69.000000,1.204277184,0.192552436,1
71,70.000000,1.221730476,0.185087411,1
72,71.000000,1.239183769,0.177396748,1
73,72.000000,1.256637061,0.169489862,1
74,73.000000,1.274090354,0.161376368,1
75,74.000000,1.291543646,0.153066152,1
76,75.000000,1.308996939,0.144569343,1
77,76.000000,1.326450232,0.135896277,1
78,77.000000,1.343903524,0.127059260,1
79,78.000000,1.361356817,0.118065639,1
80,79.000000,1.378810109,0.108928077,1
81,80.000000,1.396263402,0.099659405,1
82,81.000000,1.413716694,0.090267515,1
83,82.000000,1.431169987,0.080765560,1
84,83.000000,1.448623279,0.071165126,1
85,84.000000,1.466076572,0.061477903,1
86,85.000000,1.483529864,0.051715686,1
87,86.000000,1.500983157,0.041890379,1
88,87.000000,1.518436449,0.032013952,1
89,88.000000,1.535889742,0.022098443,1
90,89.000000,1.553343034,0.012155929,1
91,90.000000,1.570796327,0.002198521,1
92,91.000000,1.588249619,-0.007761646,1
93,92.000000,1.605702912,-0.017712437,1
94,93.000000,1.623156204,-0.027641732,1
95,94.000000,1.640609497,-0.037535739,1
96,95.000000,1.658062789,-0.047385783,1
97,96.000000,1.675516082,-0.057178175,1
98,97.000000,1.692969374,-0.066900984,1
99,98.000000,1.710422667,-0.076542376,1
100,99.000000,1.727875959,-0.086090587,1
101,100.000000,1.745329252,-0.095533995,1
102,101.000000,1.762782545,-0.104861095,1
103,102.000000,1.780235837,-0.114060525,1
104,103.000000,1.797689130,-0.123121093,1
105,104.000000,1.815142422,-0.132031734,1
106,105.000000,1.832595715,-0.140781608,1
107,106.000000,1.850049007,-0.149360056,1
108,107.000000,1.867502300,-0.157756628,1
109,108.000000,1.884955592,-0.165961117,1
110,109.000000,1.902408885,-0.173963490,1
111,110.000000,1.919862177,-0.181754019,1
112,111.000000,1.937315470,-0.189323214,1
113,112.000000,1.954768762,-0.196663609,1
114,113.000000,1.972222055,-0.203762784,1
115,114.000000,1.989675347,-0.210613798,1
116,115.000000,2.007128640,-0.217208329,1
117,116.000000,2.024581932,-0.223538347,1
118,117.000000,2.042035225,-0.229596166,1
119,118.000000,2.059488517,-0.235374384,1
120,119.000000,2.076941810,-0.240865935,1
121,120.000000,2.094395102,-0.246064157,1
122,121.000000,2.111848395,-0.250962721,1
123,122.000000,2.129301687,-0.255555689,1
124,123.000000,2.146754980,-0.259837438,1
125,124.000000,2.164208272,-0.263802724,1
126,125.000000,2.181661565,-0.267446747,1
127,126.000000,2.199114858,-0.270765069,1
128,127.000000,2.216568150,-0.273753680,1
129,128.000000,2.234021443,-0.276408910,1
130,129.000000,2.251474735,-0.278727492,1
131,130.000000,2.268928028,-0.280706635,1
132,131.000000,2.286381320,-0.282343929,1
133,132.000000,2.303834613,-0.283637412,1
134,133.000000,2.321287905,-0.284585477,1
135,134.000000,2.338741198,-0.285186936,1
136,135.000000,2.356194490,-0.285441089,1
137,136.000000,2.373647783,-0.285347627,1
138,137.000000,2.391101075,-0.284906697,1
139,138.000000,2.408554368,-0.284118802,1
140,139.000000,2.426007660,-0.282984871,1
141,140.000000,2.443460953,-0.281506316,1
142,141.000000,2.460914245,-0.279684938,1
143,142.000000,2.478367538,-0.277522988,1
144,143.000000,2.495820830,-0.275023067,1
145,144.000000,2.513274123,-0.272188186,1
146,145.000000,2.530727415,-0.269021832,1
147,146.000000,2.548180708,-0.265527859,1
148,147.000000,2.565634000,-0.261710555,1
149,148.000000,2.583087293,-0.257574537,1
150,149.000000,2.600540585,-0.253124813,1
151,150.000000,2.617993878,-0.248366832,1
152,151.000000,2.635447171,-0.243306389,1
153,152.000000,2.652900463,-0.237949676,1
154,153.000000,2.670353756,-0.232303187,1
155,154.000000,2.687807048,-0.226373774,1
156,155.000000,2.705260341,-0.220168685,1
157,156.000000,2.722713633,-0.213695479,1
158,157.000000,2.740166926,-0.206960043,1
159,158.000000,2.757620218,-0.199972569,1
160,159.000000,2.775073511,-0.192752655,1
161,160.000000,2.792526803,-0.185299607,1
162,161.000000,2.809980096,-0.177611950,1
163,162.000000,2.827433388,-0.169715770,1
164,163.000000,2.844886681,-0.161605036,1
165,164.000000,2.862339973,-0.153296399,1
166,165.000000,2.879793266,-0.144800961,1
167,166.000000,2.897246558,-0.136129086,1
168,167.000000,2.914699851,-0.127291559,1
169,168.000000,2.932153143,-0.118298999,1
170,169.000000,2.949606436,-0.109162503,1
171,170.000000,2.967059728,-0.099893157,1
172,171.000000,2.984513021,-0.090502147,1
